
id,slug,members

9001,enemy_grp_boss_skel_king,boss_skeleton_king
9002,enemy_grp_boss_worm,boss_queen_worm
9003,enemy_grp_boss_ogre,boss_red_ogre
9004,enemy_grp_boss_thunder,boss_thunder_beast
9005,enemy_grp_boss_griffon,boss_griffon_lord
9006,enemy_grp_boss_treant,boss_treant_elder
9011,enemy_grp_boss_bishop,boss_fallen_bishop
9012,enemy_grp_boss_cardinal,boss_corrupt_cardinal
9013,enemy_grp_boss_ronin,boss_mad_ronin
9014,enemy_grp_boss_assassin,boss_assassin_master
9015,enemy_grp_boss_pirate,boss_pirate_king
9016,enemy_grp_boss_rebel,boss_rebel_leader
9017,enemy_grp_boss_merchant,boss_gold_merchant
9021,enemy_grp_boss_baphomet,boss_demon_baphomet
9022,enemy_grp_boss_angel,boss_fallen_angel
9023,enemy_grp_boss_dragon,boss_desert_dragon
9024,enemy_grp_boss_kirin,boss_holy_kirin
9025,enemy_grp_boss_golem,boss_omega_golem
9026,enemy_grp_boss_kraken,boss_kraken_prime
9027,enemy_grp_boss_mino,boss_mino_king

100,bandit_group,enemy_bandit_thug
101,roland_undead_group,enemy_skeleton|enemy_zombie
102,roland_bandit_group,enemy_bandit_guard|enemy_bandit_thug
103,roland_monster_group,enemy_roland_ghost_knight|enemy_skeleton
104,markand_desert_group,enemy_markand_scorpion|enemy_bandit_thug
105,markand_worm_group,enemy_markand_sand_worm|enemy_markand_scorpion
106,yato_yokai_group,enemy_yato_onibi|enemy_yato_karakasa
107,yato_tengu_group,enemy_yato_tengu|enemy_yato_onibi
108,karyu_spirit_group,enemy_karyu_jiangshi|enemy_karyu_fox
109,karyu_terracotta_group,enemy_karyu_terracotta|enemy_karyu_jiangshi
110,neutral_goblin_group,enemy_goblin|enemy_goblin_archer
111,neutral_wolf_group,enemy_wild_dog|enemy_killer_wolf

200,main_bandit_squad,enemy_bandit_thug|enemy_bandit_thug
201,main_markand_spy,enemy_bandit_guard|enemy_markand_scorpion
202,main_empire_clash,enemy_bandit_guard|enemy_bandit_guard
203,main_empire_elite,enemy_boss_ep5_squad
204,main_yato_pursuit,enemy_yato_onibi|enemy_yato_karakasa
205,main_samurai_trial,enemy_yato_tengu|enemy_yato_tengu
206,main_assassin_night,enemy_assassin_trainee|enemy_assassin_trainee
207,main_assassin_boss,enemy_assassin_master
208,main_escort_ambush,enemy_yato_tengu|enemy_yato_onibi
209,main_guardian_dragon,enemy_boss_ep10_dragon
210,main_karyu_wall,enemy_karyu_terracotta|enemy_karyu_terracotta
211,main_river_defense,enemy_karyu_jiangshi|enemy_karyu_terracotta
212,main_river_boss,enemy_karyu_fox|enemy_karyu_fox
213,main_mercenary_king,enemy_boss_mercenary_king
214,main_castle_siege,enemy_karyu_terracotta|enemy_karyu_jiangshi|enemy_karyu_terracotta
215,main_ruin_guardian,enemy_boss_ruin_guardian
216,main_reunion_test,enemy_bandit_guard|enemy_bandit_guard
217,main_gate_keeper,enemy_boss_gate_keeper
218,main_angel_army_a,enemy_angel_soldier|enemy_angel_soldier
219,main_angel_army_b,enemy_angel_soldier|enemy_boss_archangel
220,main_system_guard,enemy_boss_system_guard
221,main_god_dragon,enemy_boss_god_dragon
222,main_god_core,enemy_boss_ep20_god

300,spot_roland_protos,enemy_spot_protos
301,spot_roland_eluka,enemy_spot_eluka
302,spot_roland_baram,enemy_spot_baram
303,spot_roland_shirasu,enemy_spot_shirasu
304,spot_roland_lyra,enemy_spot_lyra
305,spot_roland_alvin,enemy_spot_alvin
310,spot_yato_spider_1,enemy_yato_onibi|enemy_yato_karakasa
311,spot_yato_spider_2,enemy_yato_onibi|enemy_yato_onibi
312,spot_yato_spider_3,enemy_yato_karakasa|enemy_yato_karakasa
313,spot_yato_spider_4,enemy_yato_tengu|enemy_yato_onibi
314,spot_yato_wani,enemy_spot_wani
315,spot_yato_tori,enemy_spot_tori
316,spot_yato_kuruma,enemy_spot_kuruma
317,spot_yato_shuten,enemy_spot_shuten
320,spot_karyu_seiryu,enemy_spot_seiryu
321,spot_karyu_byakko,enemy_spot_byakko
322,spot_karyu_suzaku,enemy_spot_suzaku
323,spot_karyu_genbu,enemy_spot_genbu
324,spot_karyu_kami,enemy_spot_kami
330,spot_markand_guard_1,enemy_spot_light_guard|enemy_spot_light_guard
331,spot_markand_guard_2,enemy_spot_sand_golem
332,spot_markand_guard_3,enemy_spot_sand_golem|enemy_spot_light_guard
333,spot_markand_king,enemy_spot_nameless_king
