id,slug,title,rec_level,difficulty,time_cost,trigger_condition,rewards_summary,_comment
6001,main_ep01,第1話「始まりの轍」,1,1,2,loc:loc_border_town,Gold:150|Rep:5|Order:5,メイン: 王国辺境の輸送部隊護衛。
6002,main_ep02,第2話「砂礫の国境線」,2,1,3,loc:loc_border_town&pre:main_ep01,Gold:200|Rep:5|Order:5,メイン: 国境警備と武装集団。
6003,main_ep03,第3話「オアシスの陰謀」,3,1,3,loc:loc_oasis&pre:main_ep02,Gold:300|Rep:10|Justice:5,メイン: マルカンドでの潜入任務。
6004,main_ep04,第4話「砂塵の激突」,4,1,5,loc:loc_plains_city&pre:main_ep03,Gold:400|Rep:10|Justice:10,メイン: 王国軍との全面衝突。
6005,main_ep05,第5話「大義という名の虚妄」,5,1,5,loc:loc_meridia&pre:main_ep04,Gold:600|Rep:15|Item:501|Justice:10,メイン: ガウェイン戦死。第1部完。
6006,main_ep06,第6話「逃亡者の道」,6,2,5,loc:loc_frontier_village&pre:main_ep05,Gold:700|Rep:10|Chaos:5,メイン: 夜刀神国への逃亡。
6007,main_ep07,第7話「刃の掟」,7,2,3,loc:loc_temple_town&pre:main_ep06,Gold:800|Rep:10|Justice:5,メイン: 侍の試練。
6008,main_ep08,第8話「夜霧の凶刃」,8,2,1,loc:loc_yato&pre:main_ep07,Gold:900|Rep:10,メイン: 暗殺者の襲撃。
6009,main_ep09,第9話「大名行列の護衛」,9,2,3,loc:loc_valley&pre:main_ep08,Gold:1000|Rep:10|Evil:5,メイン: 護衛任務と陰謀。
6010,main_ep10,第10話「世界の底が抜ける日」,10,2,5,loc:loc_yato&pre:main_ep09,Gold:1500|Rep:20|Item:502|Justice:15,メイン: 神々の遊戯判明。第2部完。
6011,main_ep11,第11話「天使降臨」,11,3,3,loc:loc_karyu_village&pre:main_ep10,Gold:1200|Rep:15,メイン: 天使緒戦+ヴォルグ戦。第3部開幕。
6012,main_ep12,第12話「炎の審判者」,12,3,5,loc:loc_meridia&pre:main_ep11,Gold:1500|Rep:15,メイン: 大天使ウリエル戦。イスハーク荒廃。
6013,main_ep13,第13話「癒しの暴君」,13,3,5,loc:loc_charon&pre:main_ep12,Gold:1800|Rep:20,メイン: 大天使ラファエル戦。龍京荒廃。
6014,main_ep14,第14話「啓示の使者」,14,3,5,loc:loc_yato&pre:main_ep13,Gold:2000|Rep:20,メイン: 大天使ガブリエル戦。出雲荒廃。
6015,main_ep15,第15話「天軍の長」,15,4,7,loc:loc_regalia&pre:main_ep14,Gold:2500|Rep:30|Item:503,メイン: 大天使ミカエル戦。第3部完。
6016,main_ep16,第16話「継承者の目覚め」,16,4,5,loc:loc_border_town&pre:main_ep15&gen:2+,Gold:3000|Rep:20,メイン: 石碑発見。英霊の遺産編開幕。
6017,main_ep17,第17話「冥府の記憶」,18,4,5,loc:loc_meridia&pre:main_ep16,Gold:3500|Rep:25|Item:505,メイン: 冥王ハデス戦。護符入手。
6018,main_ep18,第18話「戦神の記憶」,18,4,5,loc:loc_charon&pre:main_ep16,Gold:3500|Rep:25|Item:506,メイン: 軍神アレス戦。剣入手。
6019,main_ep19,第19話「月光の記憶」,18,4,5,loc:loc_yato&pre:main_ep16,Gold:3500|Rep:25|Item:507,メイン: 女神アルテミス戦。鎧入手。
6020,main_ep20,第20話「蒼き暁」,25,5,8,loc:loc_regalia&pre:main_ep17|main_ep18|main_ep19,Gold:15000|Rep:50|Item:504,メイン: 全能神ゼウス戦。最終戦。
クエストデータの設計意図,,,,,,,,
