id,slug,title,rec_level,difficulty,time_cost,location_tags,min_prosperity,max_prosperity,min_reputation,max_reputation,rewards_summary,client_name,_comment
7001,qst_gen_deliver,隣街への親書配達,2,2,1,all,,,,, Gold:150,配達組合,[配達] 隣街の親族へ仕送り入りの手紙を無事に届ける。
7002,qst_gen_escort,放浪商人の護衛,2,2,1,all,,,,,Gold:300,旅商人組合,[護衛] 旅の商人を目的地まで護衛し、夜盗の襲撃から商品を守る。
7003,qst_gen_scavenge,廃墟からの物資回収,2,2,1,all,,,,,Gold:200|Item:3002,冒険者ギルド,[探索] 崩壊した街区の金庫から、貴重な物資を回収する。
7004,qst_gen_riot,食料暴動の事前鎮圧,2,2,1,all,,,,,Gold:400|Evil:5,自治会,[討伐] 暴動を企てる飢えた市民のデモ隊を、力でねじ伏せる。
7005,qst_gen_bear,冬ごもりの凶熊狩り,2,2,1,all,,,,,Gold:250|Item:3001,開拓村の長,[討伐] 開拓村の脅威となっている大型の熊を狩る。
7006,qst_gen_smuggle,禁制品の闇ルート輸送,2,2,1,all,,,,-50,Gold:800|Chaos:5,闇商人,[密輸] 危険な禁制品を運搬する。検問や敵の襲撃に備えよ。
7007,qst_gen_rat,地下水路の害獣駆除,2,2,1,all,,,,,Gold:150,自治会,[討伐] はびこる巨大ネズミを退治し、衛生環境を取り戻せ。
7008,qst_gen_mercy,野営地への薬草納品,2,2,1,all,,,,,Gold:100|Justice:5,救護団,[納品] 傷ついた難民のため、癒やし草を規定数集める。
7010,qst_rol_heretic,異端者の粛清,2,2,1,loc_holy_empire,,,80,,Gold:400|Order:5,聖騎士団,[討伐] 教会に背く異端の信徒たちを、騎士団に代わって処理する。
7011,qst_rol_holywater,最前線への聖水輸送,2,2,1,loc_holy_empire,,,,,Gold:350,教会,[輸送] アンデッド対策として、前線の拠点に祝福された聖水を運ぶ。
7012,qst_rol_pilgrim,聖地巡礼者の護衛,2,2,1,loc_holy_empire,,,,,Gold:500,教会,[護衛] 狂信的な巡礼者を護送する。彼が死ねば報酬はない。
7013,qst_rol_undead,遺体安置所の亡者討伐,2,2,1,loc_holy_empire,,,,,Gold:300,聖騎士団,[討伐] 瘴気によって動き出した腐乱死体たちを土へと還す。
7014,qst_rol_tithe,強圧的な十分の一税徴収,2,2,1,loc_holy_empire,,,,-50,Gold:600|Evil:10,教会,[徴収] 貧民層から無理やり税を取り立てる任務。抵抗者は斬れ。
7015,qst_rol_relic,盗まれた聖遺物の奪還,2,2,1,loc_holy_empire,,,,,Gold:450,教会,[奪還] 盗賊団のアジトを襲撃し、教会から盗まれた聖杯を奪い返す。
7020,qst_mar_caravan,大砂漠の長距離交易護衛,2,2,1,loc_marcund,,,,,Gold:800,交易商会,[護衛] 広大な砂漠を越える商隊の用心棒。盗賊と魔獣の連戦を耐え抜け。
7021,qst_mar_scorpion,幻覚サソリの毒針調達,2,2,1,loc_marcund,,,,,Gold:300|Item:3005,闇商人,[納品] 暗殺の薬や違法薬物の原料となる、希少なサソリの毒針を納品。
7022,qst_mar_debt,逃亡奴隷の連れ戻し,2,2,1,loc_marcund,,,,-50,Gold:450|Evil:5,奴隷商,[捕縛] 借金を踏み倒して逃げた元奴隷を、生死問わず連れ戻す。
7023,qst_mar_sandworm,交易路を脅かす大砂虫討伐,2,2,1,loc_marcund,,,,,Gold:600,交易商会,[討伐] 流砂の底に潜む巨大な魔獣を誘い出し、オアシスの安全を確保せよ。
7024,qst_mar_auction,闇市オークションの用心棒,2,2,1,loc_marcund,,,,,Gold:500|Chaos:5,闇市の元締め,[防衛] 違法国宝が取引される闇の競売場で、乱入者を排除する。
7025,qst_mar_bribe,敵対軍閥への賄賂裏工作,2,2,1,loc_marcund,,,,,Gold:350|Chaos:5,軍閥の密使,[裏工作] 工作資金と宝石を、密かに敵対軍閥の将校へ手渡してこい。
