row_type,node_id,text_label,params,next_node
NODE,start,"「冒険者よ、聖堂騎士団からの指名依頼だ。聖墓地が盗掘団に荒らされている」","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""speaker_name"":""聖堂騎士"",""type"":""text""}",start_01_02
NODE,start_01_02,"聖堂の厳かな空気の中に、騎士の重苦しいため息が静かに響いた。","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_02
NODE,start_02,"「眠れる騎士たちの遺品が次々と盗まれ、闇市に流れている」","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""speaker_name"":""聖堂騎士"",""type"":""text""}",start_02_02
NODE,start_02_02,"（聖なる墓を暴き、死者の眠りを妨げるか。許しがたい暴挙だな）","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「盗掘団を排除し、盗まれた遺品を回収してほしい」","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""speaker_name"":""聖堂騎士"",""type"":""text""}",start_03_02
NODE,start_03_02,"「死者の尊厳を守るためだ。どうか手を貸してくれ」","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""speaker_name"":""聖堂騎士"",""type"":""text""}",start_04
NODE,start_04,"死者の安らぎを乱す不届き者か。墓地へ向かおう。","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"聖都郊外の丘を越えると、広大な聖墓地が見えてきた。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"重く立ち込める雲の下、無数の白い墓標が静まり返っている。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"墓地に近づくと、掘り返された墓穴がいくつも目に入る。ひどい有様だ。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",travel_02_02
NODE,travel_02_02,"（土がまだ新しい。奴らは今もこの墓地のどこかに潜んでいるはずだ）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",graveyard_01
NODE,graveyard_01,"盗掘団は地下納骨堂に拠点を構えているらしい。入り口は二つある。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",graveyard_02
NODE,graveyard_02,"正面の大扉か、裏手の崩れた壁の隙間か。どちらから入る？","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_approach
NODE,choice_approach,"","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「正面から堂々と乗り込む」,,front_01
CHOICE,,「裏手の崩れた壁から忍び込む」,,back_01
NODE,front_01,"大扉を蹴り開けて突入する！ 中にいた見張りの盗掘者が武器を取った！","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",front_01_02
NODE,front_01_02,"薄暗い石造りの大廊下に、金属音がけたたましく響き渡る。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"","{""bg"":""bg_crypt"",""bgm"":""bgm_battle"",""enemy_group_id"":101,""type"":""battle""}",
CHOICE,,win,,merge_inner
CHOICE,,lose,,end_failure_01
NODE,back_01,"崩れた壁の隙間に身を滑り込ませる。暗く狭い通路が続いている……。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",back_01_02
NODE,back_01_02,"（音を立てるな。闇に紛れて、奴らの背後を執るんだ）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",back_random
NODE,back_random,"","{""type"":""random_branch"",""prob"":60,""bg"":""bg_crypt""}",
CHOICE,,success,,back_success
CHOICE,,failure,,back_fail
NODE,back_success,"誰にも見つからず、納骨堂の内部に潜入できた。奥から声が聞こえる。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",back_success_02
NODE,back_success_02,"（どうやら気づかれずに済んだな。声のする方へ進もう）","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",merge_inner
