row_type,node_id,text_label,params,next_node
NODE,start,"「冒険者殿、村の近くに巨大な毒蠍が巣を作っておってな」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""オアシス村長"",""type"":""text""}",start_02
NODE,start_02,"「家畜を何頭も喰われた。旅人が毒で倒れたという報告もある」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""オアシス村長"",""type"":""text""}",start_03
NODE,start_03,"「このままでは交易路も使えん。どうか蠍を退治してくだされ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""オアシス村長"",""type"":""text""}",start_04
NODE,start_04,"巨大蠍の討伐か。砂漠の危険な相手だが、受けよう。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"灼熱の砂漠を進む。足跡と思しき溝が砂に刻まれている。蠍の痕跡だ。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"砂丘の向こうに、巨大な穴が見えてきた。蠍の巣穴に違いない。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",desert_01
NODE,desert_01,"巣穴の周囲には砕かれた骨や干からびた家畜の死骸が散乱している。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",desert_02
NODE,desert_02,"あの穴に入るか、火を使って追い出すか。どちらにするか。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_hunt
NODE,choice_hunt,"","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「枯れ草を集めて煙で巣穴から追い出す」,,fire_01
CHOICE,,「巣穴に直接侵入して仕留める」,,cave_01
NODE,fire_01,"巣穴の入口に枯れ草を山と積み、火を放つ。煙が穴の中に充満していく。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",fire_02
NODE,fire_02,"地面が震え始めた。何かが中から出てこようとしている……！","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",fire_random
NODE,fire_random,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_desert""}",
CHOICE,,success,,fire_success
CHOICE,,failure,,fire_fail
NODE,fire_success,"煙に耐えきれず、子蠍たちが四方八方に逃げ出した。親蠍だけが残っている。好機だ。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",merge_boss
NODE,fire_fail,"煙が足りない！ 怒った蠍が地中から飛び出し、毒尾が空を切った！","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",fire_trap
NODE,fire_trap,"毒尾の一撃をかわしきれず、腕をかすめた。毒が微かに体を蝕む。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",boss_intro_01
NODE,cave_01,"砂にまみれながら巣穴の中に潜り込む。暗く、じっとりと湿った空気が漂う。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",cave_02
NODE,cave_02,"奥から無数の小さな目がこちらを見ている。子蠍の群れだ！","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"蠍の群れとの戦闘！","{""bg"":""bg_desert"",""bgm"":""bgm_battle"",""enemy_group_id"":422,""type"":""battle""}",
CHOICE,,win,,merge_boss
CHOICE,,lose,,end_failure
NODE,merge_boss,"子蠍を蹴散らした先に、ひときわ巨大な影が蠢いている。親蠍だ。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",boss_intro_01
NODE,boss_intro_01,"全長3メートルはある巨体。硬質な甲殻が陽光を弾いている。","{""bg"":""bg_desert"",""bgm"":""bgm_battle_boss"",""type"":""text""}",boss_intro_02
NODE,boss_intro_02,"巨大な鋏がガチガチと鳴り、毒を滴らせた尾が高く振り上げられた。","{""bg"":""bg_desert"",""bgm"":""bgm_battle_boss"",""type"":""text""}",boss_intro_03
NODE,boss_intro_03,"巨大毒蠍が襲いかかってきた！","{""bg"":""bg_desert"",""bgm"":""bgm_battle_boss"",""type"":""text""}",battle_boss
NODE,battle_boss,"巨大毒蠍との決戦！","{""bg"":""bg_desert"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":9102,""type"":""battle""}",
CHOICE,,win,,victory_01
CHOICE,,lose,,end_failure
NODE,victory_01,"巨大蠍の甲殻を貫き、ついに仕留めた。砂漠に静けさが戻る。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_02
NODE,victory_02,"蠍の毒腺から希少な毒素を採取できた。薬にも毒にもなる代物だ。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",choice_fate
NODE,choice_fate,"","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「村の薬師に渡す。解毒薬の材料になるはずだ」,,fate_just_01
CHOICE,,「闇市に売る。希少な毒素は高値がつくだろう」,,fate_chaos_01
NODE,fate_just_01,"蠍の毒素を村の薬師に手渡した。これで被害者の解毒薬が作れる。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",fate_just_02
NODE,fate_just_02,"「蠍を退治し、毒素まで薬師に！ 恩人だ、本当にありがとう」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""オアシス村長"",""type"":""text""}",end_success_justice
