row_type,node_id,text_label,params,next_node
NODE,start,"「今回は聖騎士団からの直接指名依頼です。地下水道に潜む狂人の捕縛ですね」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルド受付嬢"",""type"":""text""}",start_02
NODE,start_02,"「相手は破門された錬金術師。人間と魔物を掛け合わせる禁忌の実験を行っているとか……」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルド受付嬢"",""type"":""text""}",start_03
NODE,start_03,"「危険な生体兵器がいるかもしれません。十分な準備をして挑んでください」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルド受付嬢"",""type"":""text""}",start_04
NODE,start_04,"中堅冒険者としての実力が試される任務だ。気を引き締めて地下水道へ向かう。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"聖都の地下へと続く隠し通路は、貧民街の奥にあった。ひどい悪臭が漂っている。","{""bg"":""bg_slums"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"地下水道に降り立った。空気は淀み、壁には不気味な粘液が付着している。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",sewer_01
NODE,sewer_01,"騎士団の情報によれば、この奥に錬金術師の実験区画があるはずだ。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",sewer_02
NODE,sewer_02,"奥へ進むと、頑丈な鉄格子で道が塞がれていた。錠前には見慣れない魔法陣が刻まれている。","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_gate
NODE,choice_gate,"","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,"「武器で錠前を力任せに破壊する」",,gate_break_01
CHOICE,,"「周囲を探索して解除キーを探す」",,gate_search_01
NODE,gate_break_01,"魔法陣ごと力任せに破壊する！ けたたましい音と共に鉄格子が開いたが——","{""bg"":""bg_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",gate_break_trap
