row_type,node_id,text_label,params,next_node
NODE,start,"「夜刀神国を騒がせている辻斬りの件、ギルドを通じて貴殿に依頼したい」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""町奉行の使い"",""type"":""text""}",start_02
NODE,start_02,"「犯人は紫の妖気を放つ刀を持っているそうだ。恐らく、古の妖刀に精神を乗っ取られている」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""町奉行の使い"",""type"":""text""}",start_03
NODE,start_03,"「被害者はすでに十数人。これ以上犠牲が出る前に、妖刀ごと奴を斬ってくれ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""町奉行の使い"",""type"":""text""}",start_04
NODE,start_04,"妖刀の辻斬りか。生半可な剣客では逆に斬られるだけだ。夜の町へ向かう。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",town_01
NODE,town_01,"夜の城下町。人々は辻斬りを恐れて固く戸を閉ざし、通りには誰もいない。","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",town_02
NODE,town_02,"足音だけが響く。奴を見つけるにはどうすればいいか。","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",choice_search
NODE,choice_search,"","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_mystery"",""type"":""choice""}",
CHOICE,,"「情報屋に金を払い、目撃情報を買う」",,info_buy_01
CHOICE,,"「大通りに立ち、自ら囮になって待つ」",,bait_01
NODE,info_buy_01,"裏路地の情報屋に銀貨を握らせた。「……奴なら、町外れの廃神社に向かったぜ」","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",info_buy_02
NODE,info_buy_02,"確実な情報を得た。背後を気にすることなく、目的地へ直行する。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",merge_shrine
NODE,bait_01,"月明かりの下、大通りのど真ん中で目を閉じて気配を探る。……来た！","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",bait_random
NODE,bait_random,"","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_tense"",""type"":""random_branch"",""prob"":50}",bait_success_01
CHOICE,,成功,,bait_success_01
CHOICE,,失敗,,bait_fail_01
NODE,bait_success_01,"背後からの殺気を完璧に読み取り、初撃を弾き返した！ 辻斬りは驚いたように後退し、町外れの廃神社へ逃げていった。","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_shrine
NODE,bait_fail_01,"殺気に気付くのが遅れた！ 凄まじい踏み込みからの斬撃が迫る！","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",bait_trap
NODE,bait_trap,"間一髪で致命傷は避けたが、肩を斬られた。辻斬りは血の匂いに満足したのか、廃神社の方角へ去っていった。追うぞ。","{""bg"":""bg_yato_street_night"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",merge_shrine
NODE,merge_shrine,"町外れの廃神社に到着した。鳥居の向こうから、むせ返るような妖気が漂ってくる。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",shrine_path_01
NODE,shrine_path_01,"参道を進むと、目に見えない障壁にぶつかった。妖力で編まれた結界だ。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",shrine_path_02
NODE,shrine_path_02,"周囲には古いお札が散らばっている。これを使えば安全に解けそうだが……。","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",choice_barrier
NODE,choice_barrier,"","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,"「面倒だ。気合で強引に結界を突破する」",,barrier_break_01
CHOICE,,"「周囲を探索し、使えるお札を探す」",,barrier_search_01
NODE,barrier_break_01,"武器に闘気を込め、結界を力任せに打ち破る！","{""bg"":""bg_yato_shrine"",""bgm"":""bgm_quest_tense"",""type"":""text""}",barrier_trap
