row_type,node_id,text_label,params,next_node
NODE,start,"「名声ある冒険者殿、急ぎの案件だ。聖騎士団から脱走者が出た」","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""speaker_name"":""王国軍将校"",""type"":""text""}",start_02
NODE,start_02,"「元団長ガレス。聖騎士団最強と謳われた男だ」","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""speaker_name"":""王国軍将校"",""type"":""text""}",start_02_02
NODE,start_02_02,"（ガレス元団長か。その名は王都だけでなく、隣国にまで轟いている）","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「奴は教会の腐敗を糾弾し、精鋭を率いて辺境へ逃亡したのだ」","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""speaker_name"":""王国軍将校"",""type"":""text""}",start_03_02
NODE,start_03_02,"将校の怒りに満ちた声が、重厚な執務室の木壁に反射する。","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04
NODE,start_04,"将校の表情は険しい。元団長の脱走は王国の威信に関わる問題だ。","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_01
NODE,prepare_01,"ガレスの情報を集める。彼は辺境のルヴァン廃城を拠点に、教会の輸送隊を襲撃しているらしい。","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_01_02
NODE,prepare_01_02,"（輸送隊を襲撃しているが、商人の護衛を殺害したという報告はないな）","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",prepare_02
NODE,prepare_02,"聖騎士の装備は一級品。正面から挑めば苦戦は必至だ。慎重に作戦を練る必要がある。","{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"ルヴァン廃城へ向かう。街道の途中、襲撃された輸送隊の残骸を見つけた。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"（散乱した木箱や荷車……襲撃の跡は生々しいが、やはり血痕が見当たらん）","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"荷が散乱しているが、人の遺体はない。ガレスは略奪はしても殺しはしていないようだ。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",approach_01
NODE,approach_01,"廃城が見えてきた。崩れかけた城壁の上に、見張りの聖騎士が立っている。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_01_02
NODE,approach_01_02,"（流石は元精鋭たちだ。無駄のない立ち振る舞いで周囲を警戒している）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",approach_02
NODE,approach_02,"正門は堅固に守られている。だが、城壁の東側に崩れた箇所がある。どちらから入るか——","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_route
NODE,choice_route,"","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「正面から堂々と突入する」,,front_01
CHOICE,,「崩れた城壁から裏口潜入する」,,sneak_01
NODE,front_01,"正門に向かって歩を進める。見張りが気づき、角笛を吹いた。敵が集まってくる。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",front_02
NODE,front_02,"「侵入者だ！ 団長に報告しろ！」聖騎士たちが武器を構えて立ちはだかる。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",front_02_02
NODE,front_02_02,"（数は三人……手強いが、ここを引き下がるわけにはいかない！）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",front_03
NODE,front_03,"正面突破しかない。覚悟を決めて剣を抜く。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_gate
NODE,battle_gate,"","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle"",""enemy_group_id"":416,""type"":""battle""}",
CHOICE,,win,,merge_01
CHOICE,,lose,,end_failure_01
NODE,sneak_01,"崩れた城壁の隙間を慎重に進む。瓦礫が不安定で、一歩間違えれば崩れ落ちる。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",sneak_02
NODE,sneak_02,"城壁の内側に出た。だが足元の石が崩れ、瓦礫の下敷きになりかける——！","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",sneak_02_02
NODE,sneak_02_02,"（くっ、崩落するか！ 重心を受け流し、素早く横へ跳び退く！）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",sneak_trap
NODE,sneak_trap,"瓦礫が崩落し、足を挟まれた。なんとか引き抜いたが、傷を負った。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",sneak_03
NODE,sneak_03,"傷は浅い。城の内部へ忍び込むことに成功した。見張りには気づかれていない。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",merge_01
NODE,merge_01,"廃城の内部は意外と整えられていた。脱走兵たちが生活している痕跡がある。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_01_02
NODE,merge_01_02,"（略奪物だけでなく、聖堂の古い書物などが綺麗に並べられているな）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_02
NODE,merge_02,"壁には「真の信仰を取り戻せ」と書かれた檄文が貼られている。ガレスの信念が窺える。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",inner_01
NODE,inner_01,"城の奥へ進むと、武装した聖騎士が通路を塞いでいる。ガレスの親衛隊だ。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",inner_01_02
NODE,inner_01_02,"（大剣を構える姿勢に隙がない。これが白銀の剣の直属か）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",inner_02
NODE,inner_02,"「ここから先は通さん。団長の邪魔をする者は——たとえ何者であろうとな！」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle"",""enemy_group_id"":413,""type"":""battle""}",
CHOICE,,win,,confront_01
CHOICE,,lose,,end_failure_01
NODE,confront_01,"親衛隊を倒し、最奥の大広間に辿り着いた。玉座に腰掛ける男がいる。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",confront_01_02
NODE,confront_01_02,"その男は重厚な甲冑をまとい、静かにこちらを待っていた。彼がガレスだ。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",confront_02
NODE,confront_02,"「……来たか。噂は聞いている。名声高き冒険者よ」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle_boss"",""speaker_name"":""ガレス"",""type"":""text""}",confront_03
NODE,confront_03,"「自分は教会の腐敗を正したいだけだ。だが、お前が王国の犬として来たのなら——剣で語ろう」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle_boss"",""speaker_name"":""ガレス"",""type"":""text""}",battle_boss
NODE,battle_boss,"","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":9061,""type"":""battle""}",
CHOICE,,win,,victory_01
CHOICE,,lose,,end_failure_01
NODE,victory_01,"ガレスの剣が折れ、片膝をついた。だがその目に敗者の色はない。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_01_02
NODE,victory_01_02,"（あれほどの使い手を圧倒したか……。だが、彼に未だ戦意は感じられない）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_02
NODE,victory_02,"「……見事だ。お前の強さは本物だ。……さて、自分をどうする？ 縛って王国に差し出すか？ それとも——」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ガレス"",""type"":""text""}",choice_fate
NODE,choice_fate,"","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「王国の命令だ。抵抗するなら力ずくで連行する」,,suppress_01
CHOICE,,「お前の言い分もわかる。自首するなら口添えしてやる」,,persuade_01
NODE,suppress_01,"ガレスを拘束した。部下たちは抵抗したが、団長の命令で武器を置いた。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",suppress_01_02
NODE,suppress_01_02,"（ガレスは無言のまま、自分の両腕を縄に差し出してきた）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",suppress_02
NODE,suppress_02,"王国軍にガレスを引き渡した。叛逆者として裁かれるだろう。秩序は保たれた。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success
NODE,end_success,"「叛逆者ガレスの拘束を確認。王国の秩序を守った功績、高く評価する」\n報奨金と名声を受け取った。だがガレスの言葉が、胸に残った。","{""bg"":""bg_church"",""rewards"":{""gold"":3000,""exp"":350,""reputation"":15,""alignment_shift"":{""order"":5}},""type"":""end"",""result"":""success""}",
NODE,persuade_01,"「……自首、か。教会の腐敗を公に訴えられるなら、それも悪くない」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ガレス"",""type"":""text""}",persuade_01_02
NODE,persuade_01_02,"（彼の瞳にわずかな希望の光が灯る。無益な血は流れなかった）","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""type"":""text""}",persuade_02
NODE,persuade_02,"ガレスは部下たちに武器を置くよう命じた。「剣ではなく、言葉で戦おう」","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_calm"",""type"":""text""}",persuade_03
NODE,persuade_03,"ガレスと共に王都へ向かった。道中、彼は教会の内部事情を語った。その告発は重い。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success_peace
NODE,end_success_peace,"ガレスは自首し、教会の腐敗を公に告発した。報酬は減額されたが、正義の種は蒔かれた。\n王国軍は面目を失ったが、民衆からの評価は高まった。","{""bg"":""bg_church"",""rewards"":{""gold"":2000,""exp"":300,""reputation"":20,""alignment_shift"":{""justice"":5}},""type"":""end"",""result"":""success""}",
NODE,end_failure_01,"ガレスの放った白銀の剣閃が視界を埋める。激痛とともに崩れ落ちた。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",end_failure
NODE,end_failure,"ガレスの聖剣が閃き、意識が遠のいた。「お前では自分は止められぬ。出直してこい」","{""bg"":""bg_ruins_field"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
