row_type,node_id,text_label,params,next_node
NODE,start,"「交易路が完全に止まっている。砂塵の王国に仇なす『砂の王』のせいだ」","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""speaker_name"":""商会長"",""type"":""text""}",start_02
NODE,start_02,"「奴は元傭兵団長だ。砂漠の地理を知り尽くし、精鋭を百人以上抱えている」","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""speaker_name"":""商会長"",""type"":""text""}",start_02_02
NODE,start_02_02,"（砂漠の傭兵団か。砂嵐を利用した奇襲を得意とする厄介な集団だな）","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「正面からは厳しい。まずオアシスの町で情報を集めてくれ」","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""speaker_name"":""商会長"",""type"":""text""}",start_03_02
NODE,start_03_02,"商会長は焦燥しきった様子で、書類の山を荒々しく叩いた。","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_04
NODE,start_04,"報酬は破格だ。それだけ商会も追い詰められているということだろう。","{""bg"":""bg_marcund"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"砂漠の街道を東へ進む。途中、襲撃された隊商の残骸を幾つも見た。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_01_02
NODE,travel_01_02,"（焼け焦げた馬車から細い煙が昇っている。まだ襲撃から間もないようだ）","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"砂の王の配下は組織的だ。見張り、伝令、襲撃部隊——軍隊のように統制されている。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",oasis_01
NODE,oasis_01,"オアシスの町に着いた。砂の王の影響で町は閑散としている。情報を集める方法は二つ。","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""type"":""text""}",oasis_01_02
NODE,oasis_01_02,"（砂の舞うオアシスで怪しまれずに動くには、変装が必要だな）","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""type"":""text""}",choice_intel
NODE,choice_intel,"","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「酒場で傭兵たちから情報を聞き出す」,,tavern_01
CHOICE,,「闇市で砂の王の内通者を探す」,,black_01
NODE,tavern_01,"酒場に入ると、元傭兵らしき男たちが酒を飲んでいる。金を渡して話を聞く。","{""bg"":""bg_tavern_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",tavern_01_02
NODE,tavern_01_02,"（男は渡された金貨を素早く懐に収め、周囲を警戒しながら口を開いた）","{""bg"":""bg_tavern_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",tavern_02
NODE,tavern_02,"「砂の王の砦は砂丘の裏にある。護衛は交代制で、夜明け前が最も手薄だ」","{""bg"":""bg_tavern_day"",""bgm"":""bgm_quest_calm"",""speaker_name"":""元傭兵"",""type"":""text""}",tavern_03
NODE,tavern_03,"有益な情報を得た。護衛の弱点を突けば、前哨戦の突破が楽になるだろう。","{""bg"":""bg_tavern_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",inner_01_02
NODE,black_01,"闇市の路地裏を歩く。怪しげな商人に声をかけ、内通者の情報を探る。","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",black_01_02
