row_type,node_id,text_label,params,next_node
NODE,start,"「北の古戦場から、異様な報告が届いている。百年前の亡霊が蘇ったと」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""代官"",""type"":""text""}",start_02
NODE,start_02,"「鬼将・蛮骨。百年前の大合戦で討たれたはずの鬼の大将だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""代官"",""type"":""text""}",start_03
NODE,start_03,"代官の顔は蒼い。蛮骨の名は今なお夜刀の民を震え上がらせる。名声ある者でなければ引き受ける者はいまい。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"古戦場へ向かう。道中、逃げてきた村人たちとすれ違った。目に恐怖が浮かんでいる。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"古戦場が近づくと、空気が変わった。冷たく、重い——瘴気だ。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",field_01
NODE,field_01,"古戦場に入った。地面には錆びた武具が散乱し、霧が立ち込めている。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",field_02
NODE,field_02,"濃い霧の中では方向感覚が狂う。正しい道を見極められるか——","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",random_fog
NODE,random_fog,"","{""type"":""random_branch"",""prob"":60,""bg"":""bg_forest_night""}",
CHOICE,,success,,safe_path
CHOICE,,failure,,lost_01
NODE,safe_path,"風向きを読み、霧の薄い方向へ進んだ。古戦場の中心部が見えてきた。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",safe_path_02
NODE,safe_path_02,"体力を温存したまま、古戦場の核心部に到達できた。","{""bg"":""bg_forest_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",merge_battle
