row_type,node_id,text_label,params,next_node
NODE,start,"「南方の遺跡から魔神が目覚めた。キャラバンが壊滅し、集落が三つ消えた」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「戦の魔神ジン。古代に封じられた闘争の化身だ。封印の劣化で復活した」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"魔神相手だ。事前準備が生死を分ける。遺跡に入る前に、何を用意するか考える。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",travel_01
NODE,travel_01,"砂漠を南下する。途中、破壊されたキャラバンの残骸を見た。凄まじい暴力の痕跡だ。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"古代遺跡が見えてきた。上空に赤い光が渦巻いている。魔神の力だ。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ruin_01
NODE,ruin_01,"遺跡の入口手前で足を止める。このまま入るのは無謀だ。何か対策を——","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ruin_02
NODE,ruin_02,"近くの集落の長老が助言をくれた。「聖水で魔神の炎を鎮めるか、武器を打ち直して刃を通すか——どちらかだ」","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_prep
NODE,choice_prep,"","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,「集落の祠で聖水を入手する」,,holywater_01
CHOICE,,「鍛冶師に武器を強化してもらう」,,forge_01
NODE,holywater_01,"集落の祠を訪ねる。老巫女が古い聖水を分けてくれた。","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""type"":""text""}",holywater_02
NODE,holywater_02,"「この聖水を魔神に振りかければ、炎の力を弱められるだろう」","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""speaker_name"":""老巫女"",""type"":""text""}",holywater_03
NODE,holywater_03,"聖水を受け取った。魔神の炎を鎮め、戦いやすくなるはずだ。","{""bg"":""bg_memory_oasis"",""bgm"":""bgm_quest_calm"",""type"":""text""}",merge_enter
NODE,forge_01,"集落の鍛冶師を訪ねる。砂漠の民は古来、魔物の鱗で武器を打つ技術を持っている。","{""bg"":""bg_shop"",""bgm"":""bgm_quest_calm"",""type"":""text""}",forge_02
NODE,forge_02,"「魔神殺しの刃か。材料はある。一晩で仕上げてやろう」","{""bg"":""bg_shop"",""bgm"":""bgm_quest_calm"",""speaker_name"":""鍛冶師"",""type"":""text""}",forge_03
NODE,forge_03,"武器を強化してもらった。刃に砂漠の古い文様が刻まれている。これなら魔神の皮も斬れるだろう。","{""bg"":""bg_shop"",""bgm"":""bgm_quest_calm"",""type"":""text""}",merge_enter
NODE,merge_enter,"準備を終え、遺跡に突入する。入口から灼熱の空気が噴き出している。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",enter_01
NODE,enter_01,"遺跡の内部は赤い光に満ちていた。壁の彫刻が熱で歪んでいる。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",enter_02
NODE,enter_02,"通路の先に、炎をまとった魔物が徘徊している。魔神の眷属だ。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_guard
NODE,battle_guard,"戦魔ジンの眷属が襲いかかる！","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_battle"",""enemy_group_id"":421,""type"":""battle""}",
CHOICE,,win,,deep_01
CHOICE,,lose,,end_failure
NODE,deep_01,"眷属を倒し、遺跡の深部へ進む。壁画には古代の戦争が描かれている。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",deep_02
NODE,deep_02,"壁画の中心に、巨大な人影が描かれている。四本の腕を持つ戦士——ジンだ。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",deep_03
NODE,deep_03,"壁画の下に碑文がある。「闘争を愛し、闘争に飽きた者は永遠に眠る」——封印の言葉か。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",chamber_01
NODE,chamber_01,"最奥の大広間に出た。砕けた封印石の破片が散乱している。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",chamber_02
NODE,chamber_02,"「……久しぶりの獲物だ。貴様、なかなかの闘気を持っているな」","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_battle_boss"",""speaker_name"":""戦魔ジン"",""type"":""text""}",chamber_03
NODE,chamber_03,"「自分は戦いを求める。強き者との死闘を渇望する。——さあ、来い！」","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_battle_boss"",""speaker_name"":""戦魔ジン"",""type"":""text""}",battle_boss
NODE,battle_boss,"戦魔ジンとの激突——！","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":9066,""type"":""battle""}",
CHOICE,,win,,victory_01
CHOICE,,lose,,end_failure
NODE,victory_01,"ジンが膝をついた。四本の腕が力なく垂れ下がる。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_calm"",""type"":""text""}",victory_02
NODE,victory_02,"「……満足だ。久しぶりに本気で戦えた。殺すか、封じるか——好きにしろ」","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_calm"",""speaker_name"":""戦魔ジン"",""type"":""text""}",choice_fate
NODE,choice_fate,"","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「二度と暴れさせない。ここで終わらせる」,,slay_01
CHOICE,,「碑文の通りに再封印する。いつか闘争に飽きて眠ることを願う」,,seal_01
NODE,slay_01,"ジンの核を砕いた。魔神の体が灰となり、遺跡の赤い光が消えた。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_tense"",""type"":""text""}",slay_02
NODE,slay_02,"遺跡から出ると、砂漠に静寂が戻っていた。魔神の脅威は永遠に去った。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",end_success
NODE,end_success,"「戦の魔神を完全に討伐したか。凄まじい力だ」\n砂漠の民は安堵した。キャラバンも再び動き出すだろう。","{""bg"":""bg_guild"",""rewards"":{""gold"":4000,""exp"":450,""reputation"":20,""alignment_shift"":{""chaos"":8}},""type"":""end"",""result"":""success""}",
NODE,seal_01,"碑文の封印術を唱える。ジンの体が光に包まれ、封印石が再構成されていく。","{""bg"":""bg_pyramid_chamber"",""bgm"":""bgm_quest_calm"",""type"":""text""}",seal_02
