row_type,node_id,text_label,params,next_node
NODE,start,夜刀神国の辺境にある宿屋の一室。部屋の中は暗い。,"{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_02
NODE,start_02,窓の外には、すべてを覆い隠すような深い夜霧が立ち込めている。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",rest_01
NODE,rest_01,激しい戦いの連続で、あなたの体には疲労が濃く溜まっていた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",rest_02
NODE,rest_02,しかし、どれほど休息を求めようとも、警戒は解けない。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",alert_01
NODE,alert_01,枕元に愛用の武器を引き寄せ、いつでも動けるよう横になる。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",alert_02
NODE,alert_02,闇の中に神経を研ぎ澄まし、わずかな音をも逃すまいと努める。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",sound_01
NODE,sound_01,深夜、静まり返った宿の屋根で、瓦がわずかに擦れる音がした。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",sound_02
NODE,sound_02,刺客の気配だ。一か所ではなく、部屋を包むように近づく。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",analysis_01
NODE,analysis_01,気配は極めて薄い。忍びの術を心得た夜刀の暗部だろう。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",analysis_02
NODE,analysis_02,寝台から音もなく滑り落ち、部屋の隅の暗闇に身を潜めた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",break_01
NODE,break_01,ガラスが粉々に砕け散り、部屋の中に黒い塊が投げ込まれる。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",break_02
NODE,break_02,たちまち白煙が部屋に満ち、視界と呼吸が奪われていく。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",enemy_voice_01
NODE,enemy_voice_01,「寝台を囲め！逃がすな、ここで息の根を止めてやる！」,"{""bg"":""bg_yato_tavern_night"",""speaker_name"":""黒装束の刺客"",""type"":""text""}",battle1
NODE,battle1,,"{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_battle"",""enemy_group_id"":206,""type"":""battle""}",
CHOICE,,win,,wave_01
CHOICE,,lose,,end_failure
NODE,wave_01,鋭い踏み込みで白煙を切り裂き、襲いかかる影を薙ぎ払う。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",wave_02
NODE,wave_02,床に倒れ伏した刺客たちの懐から、特有の紋章が覗いていた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",wave_03
NODE,wave_03,それは夜刀神国の有力者が飼う、暗部組織の印に他ならない。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",wave_04
NODE,wave_04,しかし、安堵する時間はない。廊下の奥からさらに重い足音が響く。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",wave_05
NODE,wave_05,障子が乱暴に引き裂かれ、大柄な男が部屋へと踏み込んできた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",elite_01
NODE,elite_01,男が手にする漆黒の野太刀から、禍々しい闘気が立ち上っている。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",elite_02
NODE,elite_02,前衛の刺客たちとは明らかに格が違う。この襲撃の指揮官か。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",elite_03
NODE,elite_03,「雑魚どもでは役不足だったか。この俺の刃で塵にしてくれよう」,"{""bg"":""bg_yato_tavern_night"",""speaker_name"":""暗殺者頭領"",""type"":""text""}",elite_04
NODE,elite_04,あなたは武器をしっかりと構え、真っ向から敵を見据えた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",battle2
NODE,battle2,,"{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_battle"",""enemy_group_id"":207,""type"":""battle""}",
CHOICE,,win,,silence_01
CHOICE,,lose,,end_failure
NODE,silence_01,激しい刃の応酬の末、あなたの渾身の一撃が頭領を捉えた。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",silence_02
NODE,silence_02,頭領は野太刀を杖代わりに突き、激しく血を吐きながら嗤う。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",silence_03
NODE,silence_03,「これで……終わりだと思うな……。夜刀の闇は深いぞ……」,"{""bg"":""bg_yato_tavern_night"",""speaker_name"":""暗殺者頭領"",""type"":""text""}",silence_04
NODE,silence_04,頭領はそのまま動かなくなった。部屋は再び静寂に包まれる。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",silence_05
NODE,silence_05,息を整えながら、崩れ落ちた頭領の懐を慎重に探る。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",check_relic
NODE,check_relic,血に染まった書簡が見つかった。そこには密命が記されている。,"{""bg"":""bg_yato_tavern_night"",""type"":""text""}",check_relic_02
