row_type,node_id,text_label,params,next_node
META,gold,0,,
META,exp,0,,
META,reputation,0,,
NODE,start,「慈愛の聖女」が祈るだけで噴水が血に染まり、「不滅の王」が睨むだけで城門が崩れる。王家の禁術により蘇った『五英霊』が、王都を破壊し始めた。,"{""type"":""text"", ""bg"":""bg_spot_roland_fire"", ""bgm"":""bgm_roland""}",text_escape
NODE,text_escape,人々を守りながら、安全な王宮の地下墓所へと逃げ込むしかない。,"{""type"":""text"", ""bg"":""bg_spot_roland_fire""}",escape_underground
NODE,escape_underground,地下墓所の奥深くで、歴史から抹消された真の英雄墓所を発見した。だが、そこには自動兵器が立ち塞がっていた！,"{""type"":""text"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_quest_mystery""}",battle_protos
NODE,battle_protos,墓所の守護者プロトスが起動した！,"{""type"":""battle"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":300, ""enemy_name"":""墓所の守護者"", ""enemy_level"":18}",choice_protos
CHOICE,,勝利,,get_promise
NODE,get_promise,守護者を倒し、奥の祭壇から輝く石を手に入れた。パッシブスキル『五英霊の誓約』を入手した。これがあれば、彼らの暴走する絶技を防げるかもしれない。,"{""type"":""reward"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_quest_mystery"", ""items"":[""601""]}",text_eluka
NODE,text_eluka,地下まで追ってきた英霊の一人、「慈愛の聖女エルーカ」が立ちはだかる。彼女は病の身代わりとして地下に幽閉され、見捨てられた過去を持っていた。,"{""type"":""text"", ""bg"":""bg_spot_roland_tomb""}",boss_eluka
NODE,boss_eluka,聖女エルーカとの戦闘！,"{""type"":""battle"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":301, ""enemy_name"":""聖女エルーカ"", ""enemy_level"":20}",choice_eluka
CHOICE,,勝利,,text_baram
NODE,text_baram,地下通路を塞ぐように、黒いローブの男が浮かんでいる。「知恵の賢者バラム」。王に禁術の知識を独占され、幽閉の末に処刑された魔術師だ。,"{""type"":""text"", ""bg"":""bg_spot_roland_tomb""}",boss_baram
NODE,boss_baram,賢者バラムとの戦闘！,"{""type"":""battle"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":302, ""enemy_name"":""賢者バラム"", ""enemy_level"":20}",choice_baram
CHOICE,,勝利,,text_shirasu
NODE,text_shirasu,巨大な盾を構えた亡霊が道を阻む。「盾の守護者シラス」。王の身代わりとなって毒杯を仰いだ、忠義の騎士。,"{""type"":""text"", ""bg"":""bg_spot_roland_tomb""}",boss_shirasu
NODE,boss_shirasu,盾のシラスとの戦闘！,"{""type"":""battle"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":303, ""enemy_name"":""盾のシラス"", ""enemy_level"":20}",choice_shirasu
CHOICE,,勝利,,text_lyra
NODE,text_lyra,蒼い矢が闇を切り裂いた。壁に背を預ける女の姿が見える。「千里の射手リラ」。戦勝の立役者でありながら、口封じのために暗殺された弓の名手。,"{""type"":""text"", ""bg"":""bg_spot_roland_tomb""}",boss_lyra
NODE,boss_lyra,射手リラとの戦闘！,"{""type"":""battle"", ""bg"":""bg_spot_roland_tomb"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":304, ""enemy_name"":""射手リラ"", ""enemy_level"":20}",choice_lyra
CHOICE,,勝利,,text_alvin
NODE,text_alvin,最後に立ちはだかったのは「不滅の王アルヴィン」。建国の父たる彼は、仲間の犠牲の上に国を築いた自責と憎悪で狂っていた。,"{""type"":""text"", ""bg"":""bg_spot_roland_core"", ""bgm"":""bgm_spot_final_boss""}",boss_alvin
NODE,boss_alvin,不滅の王アルヴィンとの最終決戦！,"{""type"":""battle"", ""bg"":""bg_spot_roland_core"", ""bgm"":""bgm_spot_final_boss"", ""enemy_group_id"":305, ""enemy_name"":""不滅の王アルヴィン"", ""enemy_level"":25}",choice_alvin
CHOICE,,勝利,,final_choice
NODE,final_choice,全ての英霊を無力化した。駆けつけた現国王は「彼らを完全に消し去り、英雄の魔力的遺産を回収せよ」と身勝手な命令を下した。どうする？,"{""type"":""text"", ""bg"":""bg_spot_roland_core"", ""bgm"":""bgm_spot_final_choice""}",choice_final
CHOICE,,王の命令に従い討伐する,,end_kill
CHOICE,,誓約の力で彼らを安らかに封印する,,end_seal
NODE,end_kill,王家の命令に従い、怨嗟の根源を断った。王家は不都合な真実を隠蔽した。あなたは新時代の英雄として祭り上げられた。,"{""type"":""end_success"", ""bg"":""bg_spot_roland_core"", ""rewards"":{""exp"":500, ""gold"":10000, ""reputation"":200, ""items"":[""602""]}}",
NODE,end_seal,彼らの魂を誓約の力で浄化し、安らかな眠りにつかせた。王家からは失策と見なされたが、英霊たちは感謝と共にその力を託してくれた。固有スキル『五星の加護』を手に入れた！,"{""type"":""end_success"", ""bg"":""bg_spot_roland_core"", ""rewards"":{""exp"":500, ""reputation"":-100, ""items"":[""603""]}}",
