row_type,node_id,text_label,params,next_node
NODE,start,"空が赤黒く染まった。\n太陽が消え、血のような月が昇る。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",start_02
NODE,start_02,"百年に一度の「冥食」だ。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",start_03
NODE,start_03,"隠れ里の長老が杖を突きながら\n近づいてきた。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",start_04
NODE,start_04,"「異界の門が開き始めておる。\n　このままでは冥の者どもが\n　この地を呑み込む」","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""speaker_name"":""長老"",""type"":""text""}",start_05
NODE,start_05,"「……儀式を行うしかない。\n　門を封じるには、宿命の子を\n　贄として捧げねばならん」","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""speaker_name"":""長老"",""type"":""text""}",start_06
NODE,start_06,"長老は深く頭を下げた。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",join_01
NODE,join_01,"「撫子を——あの子を、\n　門の最深部まで連れていってくれ」","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""speaker_name"":""長老"",""type"":""text""}",join_02
NODE,join_02,"遠くから祭太鼓の音が低く響いている。\n白い装束の少女が静かに待っていた。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",join_03
NODE,join_03,"黒い髪に白い花飾り。\n年は十五、六だろうか。","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""type"":""text""}",join_04
NODE,join_04,"「……撫子と申します。\n　門まで、お供させてください」","{""bg"":""bg_spot_yato_eclipse"",""bgm"":""bgm_yato"",""speaker_name"":""撫子"",""type"":""text""}",join_nadeshiko
NODE,join_nadeshiko,"「私のことは気にしないでください。\n　覚悟は……とうにできています」","{""bg"":""bg_spot_yato_eclipse"",""speaker_name"":""撫子"",""type"":""guest_join"",""guest_id"":""npc_nadeshiko"",""is_escort_target"":true}",gate_01
NODE,gate_01,"冥の門の入口。\n鳥居の朱塗りが黒ずんで剥がれている。","{""bg"":""bg_spot_yato_entrance"",""bgm"":""bgm_battle_strong"",""type"":""text""}",gate_02
