row_type,node_id,text_label,params,next_node
NODE,start,"華龍の都の外れ。\n雲を突く巨塔が聳えている。","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""type"":""text""}",start_02
NODE,start_02,"誰が建てたのか、誰も知らない。","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""type"":""text""}",start_03
NODE,start_03,"道端に老人が座っていた。\n目を閉じたまま茶を啜っている。","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""type"":""text""}",start_04
NODE,start_04,"「塔を目指すのか。何人目だろうな」","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""speaker_name"":""老人"",""type"":""text""}",start_05
NODE,start_05,"「四方に四神がおる。\n　青龍、白虎、朱雀、玄武」","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""speaker_name"":""老人"",""type"":""text""}",start_06
NODE,start_06,"「全て倒さねば、塔には入れん。\n　……すべては上にいる\n　『あれ』の遊びだよ」","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""speaker_name"":""老人"",""type"":""text""}",start_07
NODE,start_07,"老人はそう言って闇に消えた。","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_karyu"",""type"":""text""}",choose_path
NODE,choose_path,"塔の足元。四方に道が伸びている。\nどの試練から挑むか。","{""bg"":""bg_spot_karyu_tower"",""bgm"":""bgm_quest_mystery"",""type"":""choice""}",
CHOICE,,東の青龍,,check_done_seiryu
CHOICE,,西の白虎,,check_done_byakko
CHOICE,,南の朱雀,,check_done_suzaku
CHOICE,,北の玄武,,check_done_genbu
CHOICE,,中央の塔へ進む,,check_orb_seiryu
NODE,check_done_seiryu,,"{""type"":""check_possession"",""item_id"":""621"",""quantity"":1}",
CHOICE,,success,,already_done_seiryu
CHOICE,,failure,,trap_seiryu
NODE,already_done_seiryu,"東の方角から、もう力の気配はしない。\n青龍は既に討ち果たした。","{""bg"":""bg_spot_karyu_tower"",""type"":""text""}",choose_path
NODE,check_done_byakko,,"{""type"":""check_possession"",""item_id"":""622"",""quantity"":1}",
CHOICE,,success,,already_done_byakko
CHOICE,,failure,,trap_byakko
NODE,already_done_byakko,"西の方角から、もう力の気配はしない。\n白虎は既に討ち果たした。","{""bg"":""bg_spot_karyu_tower"",""type"":""text""}",choose_path
NODE,check_done_suzaku,,"{""type"":""check_possession"",""item_id"":""623"",""quantity"":1}",
CHOICE,,success,,already_done_suzaku
CHOICE,,failure,,trap_suzaku
NODE,already_done_suzaku,"南の方角から、もう力の気配はしない。\n朱雀は既に討ち果たした。","{""bg"":""bg_spot_karyu_tower"",""type"":""text""}",choose_path
NODE,check_done_genbu,,"{""type"":""check_possession"",""item_id"":""624"",""quantity"":1}",
CHOICE,,success,,already_done_genbu
CHOICE,,failure,,trap_genbu
NODE,already_done_genbu,"北の方角から、もう力の気配はしない。\n玄武は既に討ち果たした。","{""bg"":""bg_spot_karyu_tower"",""type"":""text""}",choose_path
NODE,trap_seiryu,"東の道を進むと空が暗転した。\n足元に落雷。衝撃が体を打つ。","{""bg"":""bg_spot_karyu_thunder"",""type"":""modify_state"",""hp_percent"":-20}",sr_pre1
NODE,sr_pre1,"雷雲の中から\n蒼い鱗の巨龍が姿を現した。","{""bg"":""bg_spot_karyu_thunder"",""bgm"":""bgm_battle_strong"",""type"":""text""}",sr_pre2
NODE,sr_pre2,"「我は青龍。東方の守護者なり。\n　千年、この地で番をしておる」","{""bg"":""bg_spot_karyu_thunder"",""bgm"":""bgm_battle_strong"",""speaker_name"":""青龍"",""type"":""text""}",sr_pre3
NODE,sr_pre3,"「正直に言えば、退屈なのだ。\n　お前たちで少しは暇が潰せるか？」","{""bg"":""bg_spot_karyu_thunder"",""bgm"":""bgm_battle_strong"",""speaker_name"":""青龍"",""type"":""text""}",sr_pre4
NODE,sr_pre4,"「手は抜かぬ。それが務めだ。\n　——さあ、来い！」","{""bg"":""bg_spot_karyu_thunder"",""bgm"":""bgm_battle_strong"",""speaker_name"":""青龍"",""type"":""text""}",boss_seiryu
NODE,boss_seiryu,"青龍が雷電と共に襲いかかってきた！","{""bg"":""bg_spot_karyu_thunder"",""bgm"":""bgm_battle_strong"",""enemy_group_id"":320,""type"":""battle""}",
CHOICE,,win,,reward_orb_1
CHOICE,,lose,,end_failure_pre
NODE,reward_orb_1,"「……見事。千年ぶりに膝をついたぞ。\n　あの方に伝えてくれ。\n　もう退屈は嫌だ、と」","{""bg"":""bg_spot_karyu_thunder"",""speaker_name"":""青龍"",""type"":""reward"",""items"":[""621""]}",choose_path
NODE,trap_byakko,"西の道に踏み出した途端\n猛吹雪が吹き荒れた。","{""bg"":""bg_spot_karyu_snow"",""type"":""modify_state"",""hp_percent"":-20}",bk_pre1
NODE,bk_pre1,"吹雪の隙間に白銀の獣が見えた。\n肩の高さだけで馬ほどある巨大な白虎。","{""bg"":""bg_spot_karyu_snow"",""bgm"":""bgm_battle_strong"",""type"":""text""}",bk_pre2
NODE,bk_pre2,"「……言葉は要らぬ」","{""bg"":""bg_spot_karyu_snow"",""bgm"":""bgm_battle_strong"",""speaker_name"":""白虎"",""type"":""text""}",bk_pre3
NODE,bk_pre3,"「愚か者を葬るのが\n　我に与えられた唯一の役割だ」","{""bg"":""bg_spot_karyu_snow"",""bgm"":""bgm_battle_strong"",""speaker_name"":""白虎"",""type"":""text""}",bk_pre4
NODE,bk_pre4,"「牙で語る。それが我の流儀だ！」","{""bg"":""bg_spot_karyu_snow"",""bgm"":""bgm_battle_strong"",""speaker_name"":""白虎"",""type"":""text""}",boss_byakko
NODE,boss_byakko,"白虎が鋭い爪を振り下ろしてきた！","{""bg"":""bg_spot_karyu_snow"",""bgm"":""bgm_battle_strong"",""enemy_group_id"":321,""type"":""battle""}",
CHOICE,,win,,reward_orb_2
CHOICE,,lose,,end_failure_pre
NODE,reward_orb_2,"「……強いな。認めよう。\n　戦うことしか知らなかったが\n　悪くない最期だ」","{""bg"":""bg_spot_karyu_snow"",""speaker_name"":""白虎"",""type"":""reward"",""items"":[""622""]}",choose_path
NODE,trap_suzaku,"南の道は灼熱だった。\n足元から業火が噴き上がった。","{""bg"":""bg_spot_karyu_fire"",""type"":""modify_state"",""hp_percent"":-20}",sz_pre1
NODE,sz_pre1,"空から巨大な火の鳥が舞い降りてきた。\n翼を振るたびに岩が溶ける。","{""bg"":""bg_spot_karyu_fire"",""bgm"":""bgm_battle_strong"",""type"":""text""}",sz_pre2
NODE,sz_pre2,"「我は朱雀。南方の守護者」","{""bg"":""bg_spot_karyu_fire"",""bgm"":""bgm_battle_strong"",""speaker_name"":""朱雀"",""type"":""text""}",sz_pre3
NODE,sz_pre3,"「千年も火を灯し続けた。\n　消えることが許されぬ炎は\n　辛いものよ」","{""bg"":""bg_spot_karyu_fire"",""bgm"":""bgm_battle_strong"",""speaker_name"":""朱雀"",""type"":""text""}",sz_pre4
NODE,sz_pre4,"「我を消してくれるなら、それもまた良い。\n　全力で来い」","{""bg"":""bg_spot_karyu_fire"",""bgm"":""bgm_battle_strong"",""speaker_name"":""朱雀"",""type"":""text""}",boss_suzaku
NODE,boss_suzaku,"朱雀が燃え盛る翼で包み込んできた！","{""bg"":""bg_spot_karyu_fire"",""bgm"":""bgm_battle_strong"",""enemy_group_id"":322,""type"":""battle""}",
CHOICE,,win,,reward_orb_3
CHOICE,,lose,,end_failure_pre
NODE,reward_orb_3,"「……ありがとう。\n　やっと……消えられる」","{""bg"":""bg_spot_karyu_fire"",""speaker_name"":""朱雀"",""type"":""reward"",""items"":[""623""]}",choose_path
NODE,trap_genbu,"北の道は足場が悪い。\n突然、大地が裂けた。","{""bg"":""bg_spot_karyu_earth"",""type"":""modify_state"",""hp_percent"":-20}",gb_pre1
NODE,gb_pre1,"大地が盛り上がり\n黒曜石の甲羅が姿を現した。","{""bg"":""bg_spot_karyu_earth"",""bgm"":""bgm_battle_strong"",""type"":""text""}",gb_pre2
NODE,gb_pre2,"「……急ぐな。\n　千年待った。もう少し待てる」","{""bg"":""bg_spot_karyu_earth"",""bgm"":""bgm_battle_strong"",""speaker_name"":""玄武"",""type"":""text""}",gb_pre3
NODE,gb_pre3,"「我は玄武。亀と蛇、二つの命を\n　縫い合わされた。あの方の\n　残酷な実験作のひとつよ」","{""bg"":""bg_spot_karyu_earth"",""bgm"":""bgm_battle_strong"",""speaker_name"":""玄武"",""type"":""text""}",gb_pre4
NODE,gb_pre4,"「だから恨みはあるが\n　神の命令には逆らえぬ。参る」","{""bg"":""bg_spot_karyu_earth"",""bgm"":""bgm_battle_strong"",""speaker_name"":""玄武"",""type"":""text""}",boss_genbu
NODE,boss_genbu,"玄武が地割れを引き起こした！","{""bg"":""bg_spot_karyu_earth"",""bgm"":""bgm_battle_strong"",""enemy_group_id"":323,""type"":""battle""}",
CHOICE,,win,,reward_orb_4
CHOICE,,lose,,end_failure_pre
NODE,reward_orb_4,"「……ようやく、ばらばらになれる。\n　亀は亀に、蛇は蛇に……」","{""bg"":""bg_spot_karyu_earth"",""speaker_name"":""玄武"",""type"":""reward"",""items"":[""624""]}",choose_path
NODE,check_orb_seiryu,,"{""type"":""check_possession"",""item_id"":""621"",""quantity"":1}",
CHOICE,,success,,check_orb_byakko
CHOICE,,failure,,missing_orbs
NODE,check_orb_byakko,,"{""type"":""check_possession"",""item_id"":""622"",""quantity"":1}",
CHOICE,,success,,check_orb_suzaku
CHOICE,,failure,,missing_orbs
NODE,check_orb_suzaku,,"{""type"":""check_possession"",""item_id"":""623"",""quantity"":1}",
CHOICE,,success,,check_orb_genbu
CHOICE,,failure,,missing_orbs
NODE,check_orb_genbu,,"{""type"":""check_possession"",""item_id"":""624"",""quantity"":1}",
