row_type,node_id,text_label,params,next_node
META,gold,0,,
META,exp,0,,
META,reputation,0,,
NODE,start,"マルカンドの市場で、老婆が倒れた。\n肌が灰色に変色し、\n指先が砂のように崩れていく。\n\n「砂の病」だ。\nここ数ヶ月で三百人以上が罹った\n原因不明の病。","{""type"":""text"", ""bg"":""bg_spot_markand_ruins"", ""bgm"":""bgm_markand""}",start_2
NODE,start_2,"酒場で語り部の老人が茶を啜りながら言った。\n\n「原因はわかっとるよ。あの墓だ。\n　千年前の王が呪いをかけた。\n　自分を忘れるなという、\n　身勝手な呪いだ」","{""type"":""text"", ""bg"":""bg_spot_markand_ruins"", ""speaker_name"":""語り部の老人""}",start_3
NODE,start_3,"老人は壁の地図を指差した。\n\n「無名王の王墓。\n　三千年、誰も踏み込めなかった」\n\n「入口の石板にこう書いてある。\n　『右手に真実を、左手に沈黙を、\n　　足元に謙譲を求めた』と」","{""type"":""text"", ""bg"":""bg_spot_markand_ruins"", ""speaker_name"":""語り部の老人""}",start_4
NODE,start_4,"老人はにやりと笑った。\n\n「行くなら止めんが——\n　帰ってきた者は、\n　一人もおらんぞ」","{""type"":""text"", ""bg"":""bg_spot_markand_ruins"", ""speaker_name"":""語り部の老人""}",trap_01
NODE,trap_01,"王墓の入口を抜けると、\n空気が変わった。\n乾いた砂漠から一転、冷たく湿っている。\n\n第一の間。「鏡の間」。","{""type"":""text"", ""bg"":""bg_spot_markand_mirror"", ""bgm"":""bgm_quest_mystery""}",trap_01_2
NODE,trap_01_2,"部屋の中央に、四体の石像が並んでいる。\n\n一体は両手を広げ、\n一体は片膝をつき、\n一体は目を伏せ、\n一体は天を仰いでいる。","{""type"":""text"", ""bg"":""bg_spot_markand_mirror""}",trap_01_3
NODE,trap_01_3,"壁に文字が刻まれている。\n\n「太陽はどの姿を照らすか。\n　答えを誤れば、光が牙を剥く」\n\n足元に骨が散らばっている。\n前に来た者の成れの果てだ。","{""type"":""text"", ""bg"":""bg_spot_markand_mirror""}",trap_01_q
NODE,trap_01_q,"石板の碑文を思い出す。\n『足元に謙譲を求めた』——\n\n四つの像が、答えを待っている。","{""type"":""text"", ""bg"":""bg_spot_markand_mirror""}",choice_trap1
CHOICE,,両手を広げた像（傲慢）,,battle_trap_01
CHOICE,,片膝をついた像（服従）,,battle_trap_01
CHOICE,,目を伏せた像（謙譲）,,trap_02
CHOICE,,天を仰ぐ像（祈願）,,battle_trap_01
NODE,battle_trap_01,"像に触れた瞬間、\n壁の鏡が一斉に光った。\n\n鏡の中から、自分と同じ姿をした\n光の戦士が抜け出してくる。\n顔が歪んでいる。嘲笑っている。\n\n「傲慢なる者よ。己の影と戦え」","{""type"":""battle"", ""bg"":""bg_spot_markand_mirror"", ""bgm"":""bgm_battle_strong"", ""enemy_group_id"":330, ""enemy_name"":""光の衛兵"", ""enemy_level"":18}",choice_bt1
