row_type,node_id,text_label,params,next_node
NODE,start,"「信じられるか。天使が聖都を攻撃しているんだ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「教会は大混乱だ。信仰の対象に剣を向けろと言うのだからな」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「だが放置すれば聖都が灰になる。信仰も糞もない。止めなければ人が死ぬ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"天使を討つ——それがどれほど途方もないことか。だが、目の前で人が死ぬのを黙って見ていることはできない。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_05
NODE,start_05,"聖都に近づくと、空が白く輝いていた。太陽ではない。天使の放つ光だ。","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",city_01
NODE,city_01,"市街地は阿鼻叫喚だった。建物は半壊し、逃げ惑う市民の悲鳴が響く。","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",city_02
NODE,city_02,"聖堂の尖塔が光の剣で真っ二つに切り裂かれている。天使の力は想像以上だ。","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",city_03
NODE,city_03,"瓦礫の下から助けを求める声。だが今は立ち止まれない。天使を止めなければ被害は広がる一方だ。","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",city_04
NODE,city_04,"市街地を進むと、天使に仕える下位の光の戦士たちが降下してきた。人間を「浄化」しようとしている。","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",city_05
NODE,city_05,"市民を守るため、立ちはだかる。光の戦士たちがこちらに槍を向けた——！","{""bg"":""bg_holy_empire"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"天使の先兵——光の戦士たちが襲いかかる！","{""bg"":""bg_holy_empire"",""bgm"":""bgm_battle"",""enemy_group_id"":218,""type"":""battle""}",
CHOICE,,win,,ascend_01
