row_type,node_id,text_label,params,next_node
NODE,start,"「緊急事態だ。辺境の遺跡から古代兵器が起動した」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「オメガ・ゴーレム。高さ十メートル超の鋼鉄の巨人だ。都市に向かって進行している」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「到達予測は三日後。聖騎士団は結界を張って遅延させているが、抜かれるのは時間の問題だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"古代文明の最終兵器。対処法すら分からない。だが止めなければ、都市が消える。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",march_01
NODE,march_01,"辺境へ急行した。街道にゴーレムの進路の痕跡が残っている——巨大な足跡が大地を抉っていた。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",march_02
NODE,march_02,"足跡の周囲の樹木は根こそぎ倒れ、岩は粉砕されている。圧倒的な質量の暴力。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",march_03
NODE,march_03,"進路を逆に辿ると、ゴーレムが起動した遺跡に到達した。崩壊した入口の先に研究室がある。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",march_04
NODE,march_04,"研究室の古文書を漁る。ゴーレムの動力源は「コア」と呼ばれる魔力結晶。それを破壊すれば停止する。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",learn_weakness
NODE,learn_weakness,"","{""type"":""modify_flag"",""bg"":""bg_ruin_crypt""}",ruin_battle_01
NODE,ruin_battle_01,"古文書を持って遺跡を出ようとした時、崩壊した遺跡から目覚めた亡者たちが襲いかかってきた！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"遺跡のアンデッドたちが襲いかかる！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_battle"",""enemy_group_id"":101,""type"":""battle""}",
CHOICE,,win,,intercept_01
CHOICE,,lose,,end_failure
NODE,intercept_01,"亡者を退け、ゴーレムの進路に先回りした。都市まであと半日の場所で迎撃する。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",intercept_02
NODE,intercept_02,"地平線の先に砂塵が見えた。ゴーレムが来る。地面が規則的に揺れ始めた。","{""bg"":""bg_road_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",intercept_03
