row_type,node_id,text_label,params,next_node
NODE,start,"「海が死んだ。交易船がまた三隻沈められた。クラーケンの仕業だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「海軍が軍船を一隻貸してくれた。だが船員は志願者だけだ。皆、死を覚悟している」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「報酬は破格だ。だが正直に言う——海の化け物を陸の戦士が倒せるかは分からん」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"海の上での戦い。不慣れな領域だが、交易路を守るためには誰かが行かなければならない。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",sail_01
NODE,sail_01,"港で軍船に乗り込んだ。甲板は緊張した船員たちでいっぱいだ。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_field"",""type"":""text""}",sail_02
NODE,sail_02,"出航。港の灯りが遠ざかり、海だけが広がる。風は穏やかだが、誰も笑わない。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_field"",""type"":""text""}",sail_03
NODE,sail_03,"二日目の夜。海面が不気味に凪いだ。水面下に巨大な影が揺らめいている。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",sail_04
NODE,sail_04,"突如、空が暗転した。雲が渦を巻き、海が荒れ始める。クラーケンが嵐を呼んでいる——！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",storm_trap
NODE,storm_trap,"暴風雨が船を襲う。巨大な波に叩きつけられ、甲板に激突した。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",storm_02
NODE,storm_02,"嵐の中、海面から触腕が伸びてきた！ 船体を掴もうとしている。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",storm_03
NODE,storm_03,"触腕に引き寄せられた海棲の魔物たちが、甲板に飛び上がってきた——！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"海棲魔物たちが甲板に襲来！","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_battle"",""enemy_group_id"":104,""type"":""battle""}",
CHOICE,,win,,navigate_01
CHOICE,,lose,,end_failure
NODE,navigate_01,"魔物を退けたが、嵐で方角を見失った。クラーケンの棲む海溝はどこだ。","{""bg"":""bg_marcund_desert"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",navigate_02
