row_type,node_id,text_label,params,next_node
NODE,start,"「夜刀神国の山中に地割れが起きた。中から古代の迷宮が現れたそうだ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_02
NODE,start_02,"「迷宮の主は『牛頭王』と呼ばれる化け物だ。入った者は誰一人戻っていない」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_03
NODE,start_03,"「周辺の村落から避難民が押し寄せている。迷宮から魔物が溢れ出るのも時間の問題だ」","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""speaker_name"":""ギルドマスター"",""type"":""text""}",start_04
NODE,start_04,"迷宮攻略。最も危険で、最も栄誉ある冒険だ。装備を整え、夜刀神国へ向かう。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",entrance_01
NODE,entrance_01,"山中の地割れに到着した。裂け目の底に、人工的な石造りの入口が見える。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",entrance_02
NODE,entrance_02,"入口の両脇に、牛の頭蓋骨が飾られている。警告か、それとも自慢か。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",entrance_03
NODE,entrance_03,"松明を灯し、迷宮の暗闇に足を踏み入れた。背後で入口の扉が重い音を立てて閉まった。","{""bg"":""bg_yato_den"",""bgm"":""bgm_quest_tense"",""type"":""text""}",maze_01
NODE,maze_01,"第一層。石壁の通路が無数に分岐している。古代の設計者の悪意が透けて見える。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",maze_02
NODE,maze_02,"壁には骨が埋め込まれている。過去に迷い込んだ者たちの成れの果てだ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",maze_03
NODE,maze_03,"通路の床に罠の気配。慎重に足を運ぶが——","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",pit_trap
NODE,pit_trap,"床板が抜け落ちた！ 咄嗟に壁を掴んだが、指が滑り数メートル落下した。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",maze_04
NODE,maze_04,"痛む足を引きずりながら、這い上がった。迷宮は容赦がない。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",maze_fork
NODE,maze_fork,"T字路。左右どちらにも同じような通路が続いている。壁の模様から方角を推測する——","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",random_fork
NODE,random_fork,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_ruin_crypt""}",
CHOICE,,success,,fork_right
CHOICE,,failure,,fork_wrong
NODE,fork_right,"壁の模様に従い右を選んだ。奥から微かな風が吹いてくる。正解だ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_calm"",""type"":""text""}",yokai_area
NODE,fork_wrong,"左を選んだが、行き止まりだ。しかも壁から毒の霧が噴き出してきた！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",fork_trap
NODE,fork_trap,"毒霧を吸い込み、頭がクラクラする。口を覆いながら引き返し、右の道へ急いだ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":15,""hp_percent"":15}",fork_wrong_02
NODE,fork_wrong_02,"毒が体に回りつつある。早く先に進まなければ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",yokai_area
NODE,yokai_area,"広い部屋に出た。迷宮に棲みついた妖怪たちが、薄闇の中でこちらを睨んでいる。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"迷宮に棲む妖怪の群れが襲いかかる！","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_battle"",""enemy_group_id"":106,""type"":""battle""}",
CHOICE,,win,,deep_01
CHOICE,,lose,,end_failure
NODE,deep_01,"妖怪を退け、第二層への階段を見つけた。空気がさらに淀んでいる。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",deep_02
NODE,deep_02,"第二層は天井が高い。巨大な何かが通れるように設計されている——牛頭王の通路だ。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",deep_03
NODE,deep_03,"床に巨大な蹄の跡が刻まれている。新しい。近い——主は。","{""bg"":""bg_ruin_crypt"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",deep_04
