row_type,node_id,text_label,params,next_node
NODE,start_prep,"旅商人組合の窓口。香辛料と生革の匂いが狭い部屋に満ちている。","{""bg"":""bg_guild"",""type"":""text""}",start
NODE,start,"埃っぽい木製のカウンター越しに、羊皮紙の依頼書を受け取った。","{""bg"":""bg_guild"",""type"":""text""}",text_01
NODE,text_01,"「護衛対象は行商人のマルコ。隣街まで往復八日の旅だ」","{""bg"":""bg_guild"",""speaker_name"":""旅商人組合の受付"",""type"":""text""}",text_02
NODE,text_02,"「積み荷は雑貨と薬品。狙われやすい品ばかりだな」","{""bg"":""bg_guild"",""speaker_name"":""旅商人組合の受付"",""type"":""text""}",text_03
NODE,text_03,"「先月、同じ路線で護衛二名が殺された。気を抜くなよ」","{""bg"":""bg_guild"",""speaker_name"":""旅商人組合の受付"",""type"":""text""}",text_03_warning
NODE,text_03_warning,"「依頼料が他より跳ね上がっているのはそういうわけだ。せいぜい生きて戻ることだけを考えろよ」","{""bg"":""bg_guild"",""speaker_name"":""旅商人組合の受付"",""type"":""text""}",meet_01
NODE,meet_01,"酒場の片隅。山積みの麻袋と木箱の影に、小柄な中年男がいた。","{""bg"":""bg_tavern_day"",""type"":""text""}",meet_look
NODE,meet_look,"男は擦り切れた外套を羽織り、絶えず周囲を気にしている。","{""bg"":""bg_tavern_day"",""type"":""text""}",meet_02
NODE,meet_02,"「あんたが今回の護衛かい？ ありがてえ、よろしく頼むよ……マルコだ」","{""bg"":""bg_tavern_day"",""speaker_name"":""マルコ"",""type"":""text""}",meet_03
NODE,meet_03,"握った手は冷たく汗ばんでいた。どこか落ち着きがない。","{""bg"":""bg_tavern_day"",""type"":""text""}",meet_chk
NODE,meet_chk,"挨拶もそこそこに、荷車の車輪を点検する。油は差されているが、軋む重い音が響いた。","{""bg"":""bg_tavern_day"",""type"":""text""}",join
NODE,join,"マルコがパーティに加わった。","{""bg"":""bg_tavern_day"",""guest_id"":""npc_gen_merchant"",""is_escort_target"":true,""type"":""guest_join""}",travel_01
