row_type,node_id,text_label,params,next_node
NODE,start_prep,"朝のギルドは騒がしい。押し寄せる冒険者たちを押しのけ、依頼板を見る。","{""bg"":""bg_guild"",""type"":""text""}",start
NODE,start,"冒険者ギルドの掲示板に、急ぎの依頼が貼られていた。","{""bg"":""bg_guild"",""type"":""text""}",text_01
NODE,text_01,"「崩壊街区の廃墟金庫から物資を回収。中身は開封不可」","{""bg"":""bg_guild"",""type"":""text""}",text_02
NODE,text_02,"「場所は崩壊街区の北だ。先週の地震で通路の一部が崩れているから注意しろ」","{""bg"":""bg_guild"",""speaker_name"":""ギルド担当"",""type"":""text""}",text_03
NODE,text_03,"「最近はあの辺りをゴブリンどもがねぐらにしているという報告もある」","{""bg"":""bg_guild"",""speaker_name"":""ギルド担当"",""type"":""text""}",text_04
NODE,text_04,"依頼書にサインを入れ、廃墟の地図を受け取った。","{""bg"":""bg_guild"",""type"":""text""}",enter_01
NODE,enter_01,"廃墟の入り口に足を踏み入れる。天井の半ばが崩れ落ち、瓦礫が散乱していた。","{""bg"":""bg_ruins_field"",""type"":""text""}",enter_scenery
NODE,enter_scenery,"周囲を見渡すと、湿った土と腐った木材の臭いが漂い、かつての繁栄の面影など微塵もなかった。","{""bg"":""bg_ruins_field"",""type"":""text""}",enter_02
NODE,enter_02,"壁にはかすれた古い紋章。かつて商家の倉庫だったようだ。","{""bg"":""bg_ruins_field"",""type"":""text""}",enter_03
NODE,enter_03,"奥に進むと薄暗い通路の先に、頑強だが錆びた鉄扉が見えた。","{""bg"":""bg_ruins_field"",""type"":""text""}",enter_darkness
NODE,enter_darkness,"足元に転がる小石を慎重に避けながら、呼吸を整える。","{""bg"":""bg_ruins_field"",""type"":""text""}",goblin_01
NODE,goblin_01,"鉄扉の前にゴブリンが二匹。木箱を漁っている。","{""bg"":""bg_ruins_field"",""type"":""text""}",goblin_02
NODE,goblin_02,"こちらに気づくと、黄色い目をギラつかせ、耳障りな金切声を上げて威嚇してきた！","{""bg"":""bg_ruins_field"",""type"":""text""}",battle_01
NODE,battle_01,"ゴブリンが襲いかかってきた！","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle"",""enemy_group_id"":402,""enemy_name"":""ゴブリンたち"",""type"":""battle""}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure
NODE,after_01,"ゴブリンを倒した。緑の血を吸った土を踏みしめ前へ進む。","{""bg"":""bg_ruins_field"",""type"":""text""}",after_lock
NODE,after_lock,"鉄扉の前に立ち、錆びついた錠前へナイフの刃先を突き立てた。","{""bg"":""bg_ruins_field"",""type"":""text""}",after_02
NODE,after_02,"中には重厚な鉄の金庫が一つ。ギルドの封印が施されている。","{""bg"":""bg_ruins_field"",""type"":""text""}",hob_01
NODE,hob_01,"金庫の横にもう一つの通路。奥から重く湿った足音。","{""bg"":""bg_ruins_field"",""type"":""text""}",hob_02
NODE,hob_02,"暗闇から、倍以上の体躯を持つホブゴブリンが、取り巻きを引き連れて姿を現した！","{""bg"":""bg_ruins_field"",""type"":""text""}",battle_02
NODE,battle_02,"ホブゴブリンの群れが襲いかかってきた！","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle"",""enemy_group_id"":403,""enemy_name"":""ホブゴブリン一味"",""type"":""battle""}",
CHOICE,,win,,recover
CHOICE,,lose,,end_failure
NODE,recover,"なんとか敵を退けた。呼吸は荒く、全身が泥と血に汚れている。","{""bg"":""bg_ruins_field"",""type"":""text""}",recover_weight
NODE,recover_weight,"重い金庫を担ぎ上げる。中身がかすかに揺れる音がした。","{""bg"":""bg_ruins_field"",""type"":""text""}",moral_01
NODE,moral_01,"重い金庫を背負って外へと出た。だが、これを闇市へ持っていけば、ギルドを介すより倍で売れるだろう。","{""bg"":""bg_road_day"",""type"":""text""}",moral_02
NODE,moral_02,"","{""bg"":""bg_road_day"",""type"":""choice""}",
CHOICE,,ギルドに届ける,,guild_01
CHOICE,,闇市に売る,,dark_01
NODE,guild_01,"金庫をギルドに持ち帰った。担当が封印の無事を確認する。","{""bg"":""bg_guild"",""type"":""text""}",guild_02
NODE,guild_02,"「封印は無事だな。よし、よくやった。これが約束の報酬だ」","{""bg"":""bg_guild"",""speaker_name"":""ギルド担当"",""type"":""text""}",end_success
NODE,end_success,"物資回収完了。正当な報酬を受け取った。","{""bg"":""bg_guild"",""rewards"":{""gold"":250,""exp"":35,""reputation"":2},""type"":""end"",""result"":""success""}",
NODE,dark_01,"スラムの裏路地、薄暗い倉庫に金庫を持ち込んだ。","{""bg"":""bg_slum"",""type"":""text""}",dark_02
NODE,dark_02,"「フッ……いい品じゃないか。ギルドの倍額で買い取ろう。もちろん、お互いのために秘密裏にな」","{""bg"":""bg_slum"",""speaker_name"":""闇商人"",""type"":""text""}",dark_think
NODE,dark_think,"中身は誰に渡ったのか。考えるのはよそう。金がすべてだ。","{""bg"":""bg_slum"",""type"":""text""}",end_dark
NODE,end_dark,"闇市で売りさばいた。懐は潤ったが、良心が痛む。","{""bg"":""bg_slum"",""rewards"":{""gold"":500,""exp"":35,""reputation"":-5,""alignment_shift"":{""chaos"":10}},""type"":""end"",""result"":""success""}",
NODE,end_failure,"力尽き、廃墟の床に倒れ伏す。金庫は泥の中に残された。","{""bg"":""bg_ruins_field"",""type"":""end"",""result"":""failure""}",
