row_type,node_id,text_label,params,next_node
NODE,start,"開拓村の長が待つ集会所に入った。\n初老の男が地図を広げている。","{""type"":""text"",""bg"":""bg_guild"",""bgm"":""bgm_quest_calm""}",text_01
NODE,text_01,"「村の東の森に、\n　凶暴な大熊が棲みついた」","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",text_02
NODE,text_02,"「畑を荒らし、家畜を襲う。\n　先週、猟師のヨルンが行方不明になった」","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",text_03
NODE,text_03,"「三日経っても戻らん。\n　森の中に血痕が点々と続いていたそうだ」","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",text_04
NODE,text_04,"「あの熊は普通じゃない。傷跡だらけで、\n　片目が潰れている」","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",forest_01
NODE,forest_01,"森に入った。木々は密に茂り、\n日光がほとんど届かない。","{""type"":""text"",""bg"":""bg_forest_day"",""bgm"":""bgm_quest_tense""}",forest_02
NODE,forest_02,"地面に大きな獣の足跡がある。\n爪の跡が異常に深い。","{""type"":""text"",""bg"":""bg_forest_day""}",trail_01
NODE,trail_01,"足跡を追った先に引き裂かれた罠。\n猟師ヨルンのものだろう。","{""type"":""text"",""bg"":""bg_forest_day""}",trail_02
NODE,trail_02,"近くの木の幹に深い爪痕。\nさらに奥へ進むと獣の匂いが濃くなった。","{""type"":""text"",""bg"":""bg_forest_day""}",trail_03
NODE,trail_03,"低い唸り声が\n藪の向こうから聞こえる。","{""type"":""text"",""bg"":""bg_forest_day""}",encounter_01
NODE,encounter_01,"茂みを掻き分けると、\n巨大な熊が立ち上がった。","{""type"":""text"",""bg"":""bg_forest_day""}",encounter_02
NODE,encounter_02,"体中に古傷が走り、片目は白く濁っている。\n口元に赤いものがこびりついていた。","{""type"":""text"",""bg"":""bg_forest_day""}",encounter_03
NODE,encounter_03,"こちらを認めると、\n大地を揺らすような咆哮を上げた。","{""type"":""text"",""bg"":""bg_forest_day""}",battle
NODE,battle,"ジャイアントベアが襲いかかってきた！","{""type"":""battle"",""bg"":""bg_forest_day"",""bgm"":""bgm_battle"",""enemy_group_id"":405}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure
NODE,after_01,"大熊が崩れ落ちた。\n残った片目には怒りではなく疲労が宿っていた。","{""type"":""text"",""bg"":""bg_forest_day"",""bgm"":""bgm_quest_calm""}",after_02
NODE,after_02,"分厚い毛皮を剥いだ。\n近くに猟師の外套の切れ端が見つかった。","{""type"":""text"",""bg"":""bg_forest_day""}",return_01
NODE,return_01,"村に戻り、毛皮を見せると\n村長が深く頷いた。","{""type"":""text"",""bg"":""bg_guild""}",return_02
NODE,return_02,"「ヨルンの遺品は見つかったか？」\n外套の切れ端を差し出すと黙って受け取った。","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",return_03
NODE,return_03,"「ありがとう。\n　これで村の連中も安心できる」","{""type"":""text"",""bg"":""bg_guild"",""speaker_name"":""開拓村の長""}",end_success
NODE,end_success,"凶熊狩り完了。報酬と獣の毛皮を受け取った。","{""type"":""end"",""result"":""success"",""bg"":""bg_guild"",""rewards"":{""items"":[""700""]}}",
NODE,end_failure,"大熊の猛攻に倒れた。\n獣の咆哮が遠ざかっていく……。","{""type"":""end"",""result"":""failure"",""bg"":""bg_forest_day""}",
