row_type,node_id,text_label,params,next_node
NODE,start,"自治会の事務所で、\n衛生担当の役人が鼻を押さえていた。","{""type"":""text"",""bg"":""bg_office"",""bgm"":""bgm_quest_calm""}",text_01
NODE,text_01,"「地下水路に巨大ネズミが大量発生した。\n　悪臭と伝染病の原因だ」","{""type"":""text"",""bg"":""bg_office"",""speaker_name"":""衛生担当の役人""}",text_02
NODE,text_02,"「先月、下水道の修繕工が噛まれて熱を出した。\n　犬ほどの大きさがあるらしい」","{""type"":""text"",""bg"":""bg_office"",""speaker_name"":""衛生担当の役人""}",text_03
NODE,text_03,"「奥から気味の悪い鳴き声が\n　聞こえるという報告もある」","{""type"":""text"",""bg"":""bg_office"",""speaker_name"":""衛生担当の役人""}",text_04
NODE,text_04,"役人は地下水路の地図を広げた。\n「根絶しないと意味がない」","{""type"":""text"",""bg"":""bg_office"",""speaker_name"":""衛生担当の役人""}",sewer_01
NODE,sewer_01,"地下水路に降りた。\n足元を汚水が流れている。","{""type"":""text"",""bg"":""bg_catacombs"",""bgm"":""bgm_quest_tense""}",sewer_02
NODE,sewer_02,"壁には苔がびっしり。\n松明の灯りに無数の赤い目が光った。","{""type"":""text"",""bg"":""bg_catacombs""}",sewer_03
NODE,sewer_03,"すぐに闇に消えたが、\n奥からカリカリと爪の音が聞こえる。","{""type"":""text"",""bg"":""bg_catacombs""}",rat_01
NODE,rat_01,"通路を進むと、巨大なネズミが3匹。\n腐肉を漁っていた。","{""type"":""text"",""bg"":""bg_catacombs""}",rat_02
NODE,rat_02,"こちらに気づくと歯を剥き出した。\n犬ほどの大きさは本当だった。","{""type"":""text"",""bg"":""bg_catacombs""}",battle_01
NODE,battle_01,"巨大ネズミの群れが襲いかかってきた！","{""type"":""battle"",""bg"":""bg_catacombs"",""bgm"":""bgm_battle"",""enemy_group_id"":407}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure
NODE,after_01,"群れを退けた。\nだが奥から地響きのような重い足音。","{""type"":""text"",""bg"":""bg_catacombs"",""bgm"":""bgm_quest_tense""}",nest_01
NODE,nest_01,"水路の最深部に巨大な巣があった。\n骨と布切れで作られている。","{""type"":""text"",""bg"":""bg_catacombs""}",nest_02
NODE,nest_02,"巣の中央に、一回り大きなネズミ。\n頭に骨のような突起がある。","{""type"":""text"",""bg"":""bg_catacombs""}",nest_03
NODE,nest_03,"禍々しい紫の目がこちらを捉えた。\nネズミの女王だ。","{""type"":""text"",""bg"":""bg_catacombs""}",battle_02
NODE,battle_02,"ネズミの女王と取り巻きが襲いかかってきた！","{""type"":""battle"",""bg"":""bg_catacombs"",""bgm"":""bgm_battle"",""enemy_group_id"":408}",
CHOICE,,win,,after_queen_01
CHOICE,,lose,,end_failure
NODE,after_queen_01,"ネズミの女王が倒れた。\n巣が崩れ、子ネズミたちが散り散りに逃げた。","{""type"":""text"",""bg"":""bg_catacombs"",""bgm"":""bgm_quest_calm""}",after_queen_02
NODE,after_queen_02,"悪臭が薄れていくのを感じた。\nこれで地下水路は清掃できる。","{""type"":""text"",""bg"":""bg_catacombs""}",end_success
NODE,end_success,"害獣駆除完了。自治会に報告し報酬を受け取った。\nしばらくはネズミの夢を見そうだ。","{""type"":""end"",""result"":""success"",""bg"":""bg_office""}",
NODE,end_failure,"ネズミの群れに圧倒された。\n地下水路から這い出すのがやっとだった。","{""type"":""end"",""result"":""failure"",""bg"":""bg_catacombs""}",
