row_type,node_id,text_label,params,next_node
NODE,start,"大聖堂の地下礼拝堂。冷たい空気の中で、大司祭から頑丈な木箱を引き渡された。","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_desc
NODE,start_desc,"中には祝福された銀の小瓶が、緩衝材の乾草と共にぎっしりと詰められている。","{""bg"":""bg_church"",""type"":""text""}",intro_1
NODE,intro_1,"「最前線の砦において、戦死した兵士たちが歩き出しているという不吉な報告がありました」","{""bg"":""bg_church"",""speaker_name"":""大司祭"",""type"":""text""}",intro_1_detail
NODE,intro_1_detail,"「この聖水は、失われた彼らの魂に安らかな眠りを与えるためのものです」","{""bg"":""bg_church"",""speaker_name"":""大司祭"",""type"":""text""}",intro_2
NODE,intro_2,"「道中は魔物が彷徨い非常に危険ですが、砦の守備隊の命が、ひいては王国の防衛がかかっています」","{""bg"":""bg_church"",""speaker_name"":""大司祭"",""type"":""text""}",intro_2_wish
NODE,intro_2_wish,"「どうか、神の祝福が宿るこの聖水を、一本も欠かすことなく無事に前線まで届けてください」","{""bg"":""bg_church"",""speaker_name"":""大司祭"",""type"":""text""}",travel_start
NODE,travel_start,"木箱を頑丈な荷車に載せ、門兵の厳しい視線を浴びながら王都を出発した。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_start_think
NODE,travel_start_think,"目的地までは片道二日の過酷な旅路。重い荷車を引く手に、自然と力がこもる。","{""bg"":""bg_road_day"",""type"":""text""}",travel_mid
NODE,travel_mid,"街道は荒れ果て、すれ違う者もいない。時折、風が嫌な臭いを運んできた。","{""bg"":""bg_road_day"",""type"":""text""}",travel_scenery
NODE,travel_scenery,"立ち枯れた木々が並ぶ光景は、ここが戦場に近いことを無言で物語っている。","{""bg"":""bg_road_day"",""type"":""text""}",camp
NODE,camp,"夜が訪れ、街道沿いの崩れた廃墟で野営をする。小さな焚き火が周囲の闇を静かに睨みつけていた。","{""bg"":""bg_camp"",""bgm"":""bgm_quest_calm"",""type"":""text""}",night_watch
NODE,night_watch,"不気味な静寂の中、ひとり見張りに立つ。闇の奥からカタカタと、骨が擦れ合うような不快な音が響く。","{""bg"":""bg_camp"",""bgm"":""bgm_quest_tense"",""type"":""text""}",encounter_wave1
NODE,encounter_wave1,"松明の火の中に、錆びた甲冑を纏った骸骨たちの白い姿が浮かび上がった！","{""bg"":""bg_camp"",""type"":""text""}",battle_wave1
NODE,battle_wave1,"荷車に群がろうとする骸骨の群れを迎え撃つ！ 聖水を死守せよ！","{""bg"":""bg_camp"",""bgm"":""bgm_battle"",""enemy_group_id"":411,""enemy_name"":""骸骨の群れ"",""type"":""battle""}",
CHOICE,,win,,after_wave1
CHOICE,,lose,,end_failure
NODE,after_wave1,"骸骨を打ち砕き、骨の破片が泥に散らばる。木箱の封印は無事のようだ。","{""bg"":""bg_camp"",""bgm"":""bgm_quest_calm"",""type"":""text""}",deeper_night
NODE,deeper_night,"だが一息つく間もなく、足元の湿った土が盛り上がり、何かが這い出るような音が周囲に響き渡る。","{""bg"":""bg_camp"",""bgm"":""bgm_quest_tense"",""type"":""text""}",encounter_wave2
NODE,encounter_wave2,"腐りかけた肉体を引きずりながら、ゾンビの群れがこちらへ手を伸ばしてくるっ…！","{""bg"":""bg_camp"",""type"":""text""}",battle_wave2
NODE,battle_wave2,"悪臭を放つ死体どもが、獲物を求めて一斉に襲いかかってきた！","{""bg"":""bg_camp"",""bgm"":""bgm_battle"",""enemy_group_id"":412,""enemy_name"":""ゾンビの群れ"",""type"":""battle""}",
CHOICE,,win,,after_wave2
CHOICE,,lose,,end_failure
NODE,after_wave2,"激しい死闘の末、二度目の襲撃も退けた。息が荒れ、疲労が全身を蝕む。","{""bg"":""bg_camp"",""bgm"":""bgm_quest_calm"",""type"":""text""}",after_wave2_think
NODE,after_wave2_think,"しかし、聖水の瓶はすべて無事だ。夜明けまであとわずか、気を抜けない。","{""bg"":""bg_camp"",""type"":""text""}",dawn_road
NODE,dawn_road,"ようやく夜が明け、朝靄が立ち込める街道を急ぐ。その前方に、冷たい霧の壁が立ち塞がった。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",encounter_wave3
