row_type,node_id,text_label,params,next_node
NODE,start,"大聖堂の門前。粗末な法衣を纏い、首から巨大な木製十字架を下げた男が立っていた。","{""bg"":""bg_church"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_desc
NODE,start_desc,"彼の目は不自然にギラつき、行き交う人々は彼を狂人を見るかのように避けていく。","{""bg"":""bg_church"",""type"":""text""}",intro_1
NODE,intro_1,"「あなたが今回の護衛ですか。主神の啓示がありました。西の危険な谷の祠へ行かねばならんのです」","{""bg"":""bg_church"",""speaker_name"":""巡礼者アルバート"",""type"":""text""}",intro_2
NODE,intro_2,"「あなたが私の肉の盾となるのも、すべては神の尊き御意志。さあ、直ちに出発しましょう」","{""bg"":""bg_church"",""speaker_name"":""巡礼者アルバート"",""type"":""text""}",join_albert
NODE,join_albert,"こちらの返事も待たず、彼は歩き出す。彼が死ねば報酬はゼロ。厄介な旅の始まりだ。","{""bg"":""bg_road_day"",""guest_id"":""npc_pilgrim_albert"",""is_escort_target"":true,""type"":""guest_join""}",travel_scenery
NODE,travel_scenery,"それから数日間の道中、彼は食事や休息の勧めに一切耳を貸そうとせず、ただ前だけを見つめて歩き続けた。","{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",travel_think
NODE,travel_think,"ただでさえ危険な旅路だ。護衛というより、嵐の跡を追いかけているような気分になる。","{""bg"":""bg_road_day"",""type"":""text""}",mountain_road
NODE,mountain_road,"やがて、切り立った崖が続く峻険な山道に入った。道幅は人一人が通れる程度に狭い。","{""bg"":""bg_mountain"",""type"":""text""}",albert_walk
NODE,albert_walk,"「おお……これぞ主が与えし苦難の道。私の足の痛みが、深き信仰の証となるのです」","{""bg"":""bg_mountain"",""speaker_name"":""巡礼者アルバート"",""type"":""text""}",warning
NODE,warning,"彼は足元の千尋の谷も見ず、祈りを口ずさみ進む。だが、頭上の岩陰に人影が見えた。","{""bg"":""bg_mountain"",""type"":""text""}",ambush
