row_type,node_id,text_label,params,next_node
NODE,start,"酒場の裏口で、教会の使いと名乗る男から小袋を渡された。\n中には旧市街の住民のリストが入っている。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",intro_1
NODE,intro_1,"「税を払わぬゴミ共は、聖帝国の恩恵を受ける資格がありません。\n　リストの家から、十分の一税を回収してください」","{""bg"":""bg_guild"",""speaker_name"":""教会の使い"",""type"":""text""}",intro_2
NODE,intro_2,"「金がなければ、家財を売ってでも。抵抗するなら、力ずくで。\n　もちろん、見逃しても構いません。そのぶん報酬は減りますがね」","{""bg"":""bg_guild"",""speaker_name"":""教会の使い"",""type"":""text""}",arrive_slum
NODE,arrive_slum,"リストを手に、旧市街の貧民窟へ足を踏み入れる。\nすれ違う人々の目が、警戒と敵意に満ちているのが分かった。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_tense"",""type"":""text""}",house_1
NODE,house_1,"最初の対象の家。半壊した長屋の扉を叩く。\n中から、怯えた様子の老夫婦が出てきた。","{""bg"":""bg_slums"",""type"":""text""}",plea_1
NODE,plea_1,"「税の徴収……？ 勘弁してくだされ。\n　昨日のパンを買う金すら、もう残っとらんのです」","{""bg"":""bg_slums"",""speaker_name"":""貧民窟の老人"",""type"":""text""}",choice_1
NODE,choice_1,"老人の服は継ぎ接ぎだらけで、部屋の中には本当に何もない。\nどうする？","{""bg"":""bg_slums"",""type"":""choice""}",
CHOICE,,見逃す,,mercy_1
CHOICE,,強制的に取り立てる,,battle_1
NODE,mercy_1,"老夫婦の家を後にした。背中に「ありがとうございます」という声が小さく聞こえた。","{""bg"":""bg_slums"",""type"":""text""}",house_2_intro
NODE,battle_1,"老人を脅すと、近所の住民たちが農具を手に集まってきた！","{""bg"":""bg_slums"",""bgm"":""bgm_battle"",""enemy_group_id"":404,""enemy_name"":""怒れる住民"",""type"":""battle""}",
CHOICE,,win,,extort_1
CHOICE,,lose,,end_failure
NODE,extort_1,"抵抗を力でねじ伏せ、なけなしの銅貨を搾り取った。\n老人がすすり泣く声が、耳の奥に残る。","{""bg"":""bg_slums"",""type"":""text""}",house_2_intro
NODE,house_2_intro,"二軒目の家へ向かう。\n噂が広まったのか、路地の住民たちがこちらを遠巻きに窺っている。","{""bg"":""bg_slums"",""type"":""text""}",house_2
NODE,house_2,"次の対象は、幼い子供を二人抱えた若い母親だった。\n痩せ細った顔に、深い隈が刻まれている。","{""bg"":""bg_slums"",""type"":""text""}",plea_2
NODE,plea_2,"「お願いです、この子たちだけは……。\n　夫は戦争で死にました。もう何も残っていないのです」","{""bg"":""bg_slums"",""speaker_name"":""若い母親"",""type"":""text""}",choice_2
NODE,choice_2,"子供たちがおびえた目でこちらを見上げている。\nどうする？","{""bg"":""bg_slums"",""type"":""choice""}",
CHOICE,,見逃す,,mercy_2
CHOICE,,強制的に取り立てる,,battle_2
NODE,mercy_2,"母親の家を後にした。子供の一人が、小さな手を振っているのが見えた。","{""bg"":""bg_slums"",""type"":""text""}",house_3_intro
NODE,battle_2,"母親をかばおうと、隣人たちが武器を手に立ちはだかった！","{""bg"":""bg_slums"",""bgm"":""bgm_battle"",""enemy_group_id"":404,""type"":""battle""}",
CHOICE,,win,,extort_2
CHOICE,,lose,,end_failure
NODE,extort_2,"泣き叫ぶ子供たちの前で、母親の最後の家財を袋に詰めた。","{""bg"":""bg_slums"",""type"":""text""}",house_3_intro
