row_type,node_id,text_label,params,next_node
NODE,start,"教会の司教から直々の依頼を受けた。\n宝物庫から最古の聖杯が盗み出されたという。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",intro_1
NODE,intro_1,"「身の程知らずのネズミどもが、主の器を汚しました。\n　奴らの隠れ家は、東の森の奥にある廃城跡だと判明しています」","{""bg"":""bg_guild"",""speaker_name"":""司教"",""type"":""text""}",intro_2
NODE,intro_2,"「闇市に流される前に、必ず取り戻してください。\n　血まみれにしてでも構いません。神罰を下すのです」","{""bg"":""bg_guild"",""speaker_name"":""司教"",""type"":""text""}",forest_approach
NODE,forest_approach,"東の森を抜け、廃城跡に近づく。\n苔むした石壁の隙間に、見張りの男たちが立っているのが見えた。","{""bg"":""bg_forest_day"",""bgm"":""bgm_field"",""type"":""text""}",stealth_or_assault
NODE,stealth_or_assault,"隠れて潜入するには見張りの数が多すぎる。\n正面突破が手っ取り早いだろう。武器を構え、歩み出る。","{""bg"":""bg_forest_day"",""type"":""text""}",spotted
NODE,spotted,"「誰だ！？ 騎士団の犬か！」\n見張りの一人が声を上げ、クロスボウを構えた。","{""bg"":""bg_forest_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",assault
NODE,assault,"矢を弾き落とし、見張りの懐へ飛び込む。\n一気にアジト内が騒がしくなり、無数の足音がこちらへ向かってきた。","{""bg"":""bg_forest_day"",""type"":""text""}",battle_wave1
NODE,battle_wave1,"盗賊団の構成員たちが立ちはだかる！","{""bg"":""bg_forest_day"",""bgm"":""bgm_battle"",""enemy_group_id"":418,""enemy_name"":""盗賊団の構成員"",""type"":""battle""}",
CHOICE,,win,,after_wave1
CHOICE,,lose,,end_failure
NODE,after_wave1,"前衛の盗賊たちを斬り伏せた。\n悲鳴と怒号を聞きつけ、廃城の奥から大柄な男が姿を現す。","{""bg"":""bg_forest_day"",""bgm"":""bgm_quest_tense"",""type"":""text""}",boss_appear
NODE,boss_appear,"「てめえ、たった一人で乗り込んできやがったのか。\n　いい度胸だが、死に場所を間違えたな」","{""bg"":""bg_forest_day"",""speaker_name"":""盗賊団の頭目"",""type"":""text""}",boss_talk
NODE,boss_talk,"「あの金ピカの杯は俺たちのモンだ。\n　あれを売れば、一生遊んで暮らせるんだよ！」","{""bg"":""bg_forest_day"",""speaker_name"":""盗賊団の頭目"",""type"":""text""}",battle_wave2
NODE,battle_wave2,"盗賊団の頭目と精鋭部隊との決戦！","{""bg"":""bg_forest_day"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":419,""enemy_name"":""盗賊団の頭領"",""type"":""battle""}",
CHOICE,,win,,after_wave2
CHOICE,,lose,,end_failure
NODE,after_wave2,"激闘の末、頭目が崩れ落ちた。\n残った手下たちは蜘蛛の子を散らすように逃げていった。","{""bg"":""bg_forest_day"",""bgm"":""bgm_quest_calm"",""type"":""text""}",find_relic
NODE,find_relic,"頭目のテントを漁ると、厳重に鍵の掛かった木箱が見つかった。\n錠を壊して開けると、見事な金の聖杯が鎮座している。","{""bg"":""bg_forest_day"",""type"":""text""}",check_relic
NODE,check_relic,"傷ひとつない。無事だ。\nこれを布に包んで背負い、血に染まった廃城を後にした。\n\n……だが、ふと考えた。この聖杯を闇市に持ち込めば、\n教会に届けるよりはるかに高値で売れるだろう。","{""bg"":""bg_forest_day"",""type"":""text""}",choice_relic
NODE,choice_relic,"聖杯を手に、岐路に立つ。","{""bg"":""bg_road_day"",""type"":""choice""}",
CHOICE,,教会に届ける,,report
CHOICE,,闇市で売却する,,sell_market
NODE,report,"王都に戻り、司教に聖杯を献上する。\n彼は聖杯を受け取ると、震える手でそれを高く掲げた。","{""bg"":""bg_guild"",""type"":""text""}",bishop_thanks
NODE,bishop_thanks,"「おお……主よ。あなたの器が戻りました。\n　冒険者よ、大儀であった。これは教会からの感謝の印だ」","{""bg"":""bg_guild"",""speaker_name"":""司教"",""type"":""text""}",end_success
NODE,end_success,"報酬を受け取った。正義を果たし、教会の信頼を得た。\n盗賊たちの命の代償としては、十分すぎる額だった。","{""bg"":""bg_guild"",""type"":""end"",""result"":""success""}",
NODE,sell_market,"裏路地の闇市に聖杯を持ち込んだ。\n胡散臭い商人が金布を剥がし、聖杯の表面を指で撫でた。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_tense"",""type"":""text""}",sell_deal
NODE,sell_deal,"「教会の国宝か……これは高く売れる。\n　倍額で買おう。出所は聞かん。ここではそういう決まりだ」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",end_dark
NODE,end_dark,"重い金袋を受け取った。教会への報酬の倍以上。\n司教には「盗賊団が既に売り払っていた」と報告しておいた。\n嘘がバレなければいいが。","{""bg"":""bg_slums"",""type"":""end"",""result"":""success""}",
NODE,end_failure,"盗賊団の連携は見事だった。\n多勢に無勢。剣を弾かれ、意識が闇に沈んでいく。","{""bg"":""bg_forest_day"",""type"":""end"",""result"":""failure""}",
