row_type,node_id,text_label,params,next_node
NODE,start,"マルカンドの裏路地。強い香辛料と不衛生なドブの臭いが混じり合う、狭い闇市の一角。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_desc
NODE,start_desc,"フードを目深に被った男が、外套の下から細く汚れた指を伸ばして手招きする。","{""bg"":""bg_slums"",""type"":""text""}",intro_1
NODE,intro_1,"「幻覚サソリの毒針が欲しい。鮮度の良いものを３本だ」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",intro_1_detail
NODE,intro_1_detail,"「何に使うかは詮索するな。それがここのルールだ」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",intro_2
NODE,intro_2,"「巣は砂漠の東にある岩場だ。尾の先が紫色に光っている」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",intro_2_warn
NODE,intro_2_warn,"「ほんの掠り傷でも、脳が狂って死ぬことになるぞ」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",travel_desert
NODE,travel_desert,"東の熱砂へ向かう。巻き上がる砂塵が視界を遮り、喉を執拗に痛めつける。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",travel_scenery
NODE,travel_scenery,"乾いた風が吹き抜け、不気味な白骨化した獣の死骸があちこちに転がっていた。","{""bg"":""bg_desert"",""type"":""text""}",reach_rocks
NODE,reach_rocks,"半日歩き、赤茶けた岩場に到着した。岩壁の隙間から、紫色の怪しい光が漏れる。","{""bg"":""bg_desert"",""type"":""text""}",reach_rocks_desc
NODE,reach_rocks_desc,"岩場の周囲の草木は毒気で枯れ果て、触れるだけで崩れ去るほど脆くなっていた。","{""bg"":""bg_desert"",""type"":""text""}",search_1
NODE,search_1,"岩の奥へ石を投げ込む。暗闇からカサカサと、硬い殻が擦れ合う音が響いた。","{""bg"":""bg_desert"",""type"":""text""}",search_wait
NODE,search_wait,"様子を見る。しかし、用心深い魔獣はなかなか暗い裂け目から姿を現そうとしない。","{""bg"":""bg_desert"",""type"":""text""}",find_nest
NODE,find_nest,"岩の裏には無数の巣穴。周囲の砂が紫色に染まっているのは、蓄積した毒のせいか。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",nest_desc
NODE,nest_desc,"穴から巨大なサソリが現れた。大人の腕ほどもあり、鋭い鋏を威嚇するように鳴らす。","{""bg"":""bg_desert"",""type"":""text""}",nest_rush
NODE,nest_rush,"一匹だけではない。地中から次々と、紫色の毒針を掲げた影が這い回り始める。","{""bg"":""bg_desert"",""type"":""text""}",battle_scorpion
NODE,battle_scorpion,"尾の毒針を妖しく光らせた幻覚サソリの群れが、一斉に襲いかかってきた！","{""bg"":""bg_desert"",""bgm"":""bgm_battle"",""enemy_group_id"":422,""enemy_name"":""幻覚サソリの群れ"",""type"":""battle""}",
CHOICE,,win,,harvest_result
CHOICE,,lose,,end_failure
NODE,harvest_result,"","{""type"":""random_branch"",""prob"":50,""bg"":""bg_desert""}",
CHOICE,,success,,harvest_success
CHOICE,,failure,,harvest_fail
NODE,harvest_success,"慎重に切り離した。紫色の鮮やかな針を、丁寧にガラス瓶の中へ封印する。","{""bg"":""bg_desert"",""type"":""reward"",""item_id"":""item_scorpion_needle""}",check_needles
NODE,harvest_fail,"切り離す際に力が入り、針が砕けてしまった。有毒な紫の霧が微かに舞い散る。","{""bg"":""bg_desert"",""type"":""text""}",harvest_fail_avoid
NODE,harvest_fail_avoid,"慌てて息を止めて飛び退く。砕けた針は、もはや何の価値もなくなってしまった。","{""bg"":""bg_desert"",""type"":""text""}",check_needles
NODE,check_needles,"","{""type"":""check_delivery"",""item_id"":""item_scorpion_needle"",""quantity"":3,""bg"":""bg_desert""}",
CHOICE,,success,,travel_back
CHOICE,,failure,,hunt_continue
NODE,hunt_continue,"まだ３本に達していない。巣穴を刺激し、次の獲物を地表へと引きずり出す。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",travel_back
NODE,travel_back,"毒針が３本揃った。砂漠の熱で変質する前に、急いでマルカンドへ戻らねば。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",travel_back_scenery
NODE,travel_back_scenery,"夕陽が砂漠を血のように赤く染めていく。背中の猛毒の危険を感じつつ歩みを急ぐ。","{""bg"":""bg_desert"",""type"":""text""}",back_alley
NODE,back_alley,"日没後、異様な香とドブの臭いが満ちる裏路地へ戻る。闇商人は同じ場所にいた。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_tense"",""type"":""text""}",back_alley_desc
NODE,back_alley_desc,"怪しげな薬売りや密売人たちの視線を避けながら、待ち合わせの路地裏の奥へと進む。","{""bg"":""bg_slums"",""type"":""text""}",deliver_1
NODE,deliver_1,"毒針の入った瓶を手渡す。男は小窓のランプの光に透かし、一本ずつ吟味した。","{""bg"":""bg_slums"",""type"":""text""}",dealer_reply
NODE,dealer_reply,"「どれも極上だ。これだけ新鮮なら、最高の幻覚剤が作れる」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",dealer_reply_02
NODE,dealer_reply_02,"「これは報酬だ。また汚い仕事が欲しくなったらここへ来い」","{""bg"":""bg_slums"",""speaker_name"":""闇商人"",""type"":""text""}",end_success
NODE,end_success,"金貨を受け取る。この毒が誰かを狂わせるのだろうが、私には関係のないことだ。","{""bg"":""bg_slums"",""rewards"":{""gold"":300,""alignment_shift"":{""evil"":5,""chaos"":5},""exp"":100},""type"":""end"",""result"":""success""}",
NODE,end_failure,"防ぎきれず、毒針が肉を引き裂いた。紫色の幻想の中、意識は永遠に失われた。","{""bg"":""bg_desert"",""type"":""end"",""result"":""failure""}",
