row_type,node_id,text_label,params,next_node
NODE,start,"奴隷商の邸宅。香油の甘い香りの陰で、微かに錆びた鉄鎖の擦れ合う音が響いていた。","{""bg"":""bg_mar_mansion"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_desc
NODE,start_desc,"肥え太った男が金歯を剥き出しにして下卑た笑みを浮かべ、一枚の羊皮紙を差し出す。","{""bg"":""bg_mar_mansion"",""type"":""text""}",intro_1
NODE,intro_1,"「あいつは私の財産だ。大金を踏み倒して逃げやがった」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",intro_1_detail
NODE,intro_1_detail,"「足の二三本へし折っても構わん。私の元へ連れ戻せ」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",intro_2
NODE,intro_2,"「居場所は砂漠の端の無法者集落だ。用心棒どもがいる」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",intro_2_warn
NODE,intro_2_warn,"「抵抗するなら容赦は要らん。お前なら楽な仕事だろう」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",travel_desert
NODE,travel_desert,"砂漠の東端へと向かう。半日歩くと、崩れかけた岩山の影に錆びた集落が見えた。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",reach_colony
NODE,reach_colony,"無法者集落。犯罪者や逃亡者が寄り添って暮らす、砂漠の最果ての吹き溜まりだ。","{""bg"":""bg_mar_outlaw"",""type"":""text""}",colony_desc
NODE,colony_desc,"薄汚れたバラック小屋の陰から、住人たちの殺気立った視線がこちらを突き刺す。","{""bg"":""bg_mar_outlaw"",""type"":""text""}",watchman
NODE,watchman,"集落の入り口。黒いターバンを巻いた大柄な男が、槍を構えて行く手を阻んだ。","{""bg"":""bg_mar_outlaw"",""bgm"":""bgm_quest_tense"",""type"":""text""}",watchman_threat
NODE,watchman_threat,"「奴隷商の飼い犬め。ここへは何の用だ。引き返せ」","{""bg"":""bg_slums"",""speaker_name"":""集落の見張り"",""type"":""text""}",sneak_in
NODE,sneak_in,"隙を見て路地へ忍び込む。住民の喧騒を避け、目的の男が潜む小屋を探した。","{""bg"":""bg_slums"",""type"":""text""}",find_fugitive
NODE,find_fugitive,"傾いた木箱の陰。怯えながらも、目に鋭い覚悟を宿した若い男と対峙する。","{""bg"":""bg_slums"",""type"":""text""}",fugitive_story
NODE,fugitive_story,"「……奴は、返済が終わっても新たな嘘で拘束し続ける悪魔だ」","{""bg"":""bg_slums"",""speaker_name"":""逃亡した男"",""type"":""text""}",fugitive_story_detail
NODE,fugitive_story_detail,"「連れ戻されれば、俺は一生あの檻から出られない」","{""bg"":""bg_slums"",""speaker_name"":""逃亡した男"",""type"":""text""}",choice_fate
NODE,choice_fate,"男の目は真実を訴えている。だが、これは依頼だ。どうする？","{""bg"":""bg_slums"",""type"":""choice""}",
CHOICE,,連れ戻す（依頼通りに）,,refuse_mercy
CHOICE,,見逃す（逃がしてやる）,,let_go
NODE,refuse_mercy,"「悪いが、これは仕事だ」男の顔が絶望に染まり、外から怒号が響いた。","{""bg"":""bg_slums"",""type"":""text""}",battle_wave1
NODE,battle_wave1,"逃亡者を守るため、集落の用心棒たちが刃を構えて一斉に襲いかかってきた！","{""bg"":""bg_slums"",""bgm"":""bgm_battle"",""enemy_group_id"":423,""enemy_name"":""集落の用心棒"",""type"":""battle""}",
CHOICE,,win,,after_wave1
CHOICE,,lose,,end_failure
NODE,after_wave1,"用心棒を倒した。だが、騒ぎを聞きつけた見張りの暗殺者が行く手を塞ぐ。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_wave2
NODE,battle_wave2,"逃げ場のない狭い路地裏。凄腕の刺客たちとの、息詰まる死闘が始まる！","{""bg"":""bg_slums"",""bgm"":""bgm_battle"",""enemy_group_id"":424,""enemy_name"":""集落の精鋭"",""type"":""battle""}",
CHOICE,,win,,capture
CHOICE,,lose,,end_failure
NODE,capture,"刺客たちを切り伏せる。逃亡者の男は力なく膝をつき、両手を差し出した。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_calm"",""type"":""text""}",drag_back
NODE,drag_back,"男を縛り、照りつける砂漠を引きずり歩く。背後には住民の呪詛が響いていた。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",deliver_slave
NODE,deliver_slave,"「よくやった！ さあ、この足枷をはめて檻へ叩き込め！」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",deliver_slave_02
NODE,deliver_slave_02,"「これがお前の報酬だ。またいい仕事があれば頼むぞ」","{""bg"":""bg_slums"",""speaker_name"":""奴隷商"",""type"":""text""}",end_success
NODE,end_success,"金袋を受け取る。檻の奥から響く絶望の叫び声が、いつまでも耳を離れない。","{""bg"":""bg_slums"",""rewards"":{""gold"":450,""alignment_shift"":{""evil"":10,""chaos"":5},""exp"":100,""reputation"":-5},""type"":""end"",""result"":""success""}",
NODE,let_go,"「行け。二度と捕まるな」縄を切ると、男は驚愕の表情を浮かべた。","{""bg"":""bg_slums"",""bgm"":""bgm_quest_calm"",""type"":""text""}",fugitive_thanks
NODE,fugitive_thanks,"「……感謝する。この恩は、死ぬまで決して忘れない」","{""bg"":""bg_slums"",""speaker_name"":""逃亡した男"",""type"":""text""}",leave_colony
NODE,leave_colony,"集落を離れ、帰路につく。奴隷商には『既に他国へ逃亡していた』と報告しよう。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",end_mercy
NODE,end_mercy,"報酬は得られなかった。だが、砂漠を吹き抜ける風が、少しだけ心地よい。","{""bg"":""bg_desert"",""rewards"":{""gold"":0,""alignment_shift"":{""justice"":15},""reputation"":10},""type"":""end"",""result"":""success""}",
NODE,end_failure,"無法者の連携に圧倒され、砂泥の中に倒れ伏す。意識は暗闇へと沈んだ。","{""bg"":""bg_slums"",""type"":""end"",""result"":""failure""}",
