row_type,node_id,text_label,params,next_node
NODE,start,"交易商会の本部に呼ばれた。\n幹部たちが深刻な顔で地図を囲んでいる。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",intro_1
NODE,intro_1,"「主要交易路に大砂虫が棲みついた。\n　商隊が2つ飲み込まれ、もう誰もあのルートを通れない」","{""bg"":""bg_guild"",""speaker_name"":""商会の幹部"",""type"":""text""}",intro_2
NODE,intro_2,"「囮の荷車を用意した。振動に反応して地上に出てくるはずだ。\n　出てきたところを仕留めてくれ。報酬は弾む」","{""bg"":""bg_guild"",""speaker_name"":""商会の幹部"",""type"":""text""}",prepare
NODE,prepare,"囮用の荷車と爆薬を受け取った。\n商会の男たちの目には、期待と不安が入り混じっている。","{""bg"":""bg_guild"",""type"":""text""}",travel_to_site
NODE,travel_to_site,"砂漠の出没地点へ向かう。二日の道のり。\n途中、砂に半分埋もれた商隊の残骸を見た。荷もラクダも——跡形もない。","{""bg"":""bg_desert"",""bgm"":""bgm_field"",""type"":""text""}",site_desc
NODE,site_desc,"出没地点に到着した。\n地面のあちこちに、巨大な円形の陥没跡がある。砂虫の通り道だ。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",set_bait
NODE,set_bait,"荷車を砂の上に据え、中に香辛料の袋を積み上げる。\n振動を伝えるため、荷台を太鼓のように打ち鳴らした。","{""bg"":""bg_desert"",""type"":""text""}",bait_desc
NODE,bait_desc,"砂漠に響く鈍い振動。それが地中深くまで伝わっていく。\n後は待つだけだ。剣を握り直し、砂の揺れに神経を集中させる。","{""bg"":""bg_desert"",""type"":""text""}",wait_1
NODE,wait_1,"しばらく何も起きなかった。風の音だけが砂丘を撫でていく。\nだが——足元の砂が、微かに波打ち始めた。","{""bg"":""bg_desert"",""type"":""text""}",tremor_1
NODE,tremor_1,"地鳴りが強まる。荷車がガタガタと揺れ始めた。\n前方の砂丘に亀裂が走り、サソリが砂の中から這い出てくる。前衛だ。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",scouts_appear
NODE,scouts_appear,"サソリの群れに混じって、地中から小型のサンドワームも姿を現した。\n本命はまだ来ていない——だが、まずこいつらを片付けなければ。","{""bg"":""bg_desert"",""type"":""text""}",battle_wave1
NODE,battle_wave1,"砂虫とサソリの群れが荷車に群がってきた！","{""bg"":""bg_desert"",""bgm"":""bgm_battle"",""enemy_group_id"":425,""enemy_name"":""砂漠の先遣隊"",""type"":""battle""}",
CHOICE,,win,,after_wave1
CHOICE,,lose,,end_failure
NODE,after_wave1,"前衛を退けた。だが、荷車の振動はまだ続いている。\n地面の揺れが——さっきとは比べ物にならないほど大きくなっていく。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",reset_bait
NODE,reset_bait,"散乱した荷を急いで積み直し、再び荷台を打ち鳴らす。\n今度こそ本命を引きずり出す。","{""bg"":""bg_desert"",""type"":""text""}",wait_2
NODE,wait_2,"地面全体が波打っている。\n砂丘が崩れ、地平線が歪んで見える。来る——！","{""bg"":""bg_desert"",""bgm"":""bgm_quest_tense"",""type"":""text""}",tremor_2
NODE,tremor_2,"砂が爆発的に噴き上がった。\n二つの巨大な口が、空に向かって同時に開く。","{""bg"":""bg_desert"",""type"":""text""}",boss_emerge
NODE,boss_emerge,"二匹——！\n白い牙を剥いた顎が、荷車を丸ごと飲み込もうとしている。","{""bg"":""bg_desert"",""speaker_name"":""（独白）"",""type"":""text""}",boss_desc
NODE,boss_desc,"全長は優に船を超える。鱗のような外殻が砂にまみれ、\n無数の小さな足が地面を掻きながら、こちらに向き直った。","{""bg"":""bg_desert"",""type"":""text""}",battle_wave2
NODE,battle_wave2,"砂漠の覇者——大砂虫との死闘！","{""bg"":""bg_desert"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":426,""enemy_name"":""大砂虫"",""type"":""battle""}",
CHOICE,,win,,after_wave2
CHOICE,,lose,,end_failure
NODE,after_wave2,"最後のサンドワームが砂の中に沈んでいった。もう動かない。\n砂漠に静寂が戻る。風だけが、戦いの跡を少しずつ消していく。","{""bg"":""bg_desert"",""bgm"":""bgm_quest_calm"",""type"":""text""}",carcass
NODE,carcass,"巨大な死骸の脇を通り過ぎる。\nこいつらの体内からは、高価な素材が取れるはずだが——今は依頼の完了が先だ。","{""bg"":""bg_desert"",""type"":""text""}",return_report
NODE,return_report,"「交易路が復活した……！ お前は商会の恩人だ。\n　約束通り、最上級の報酬を用意した。受け取ってくれ」","{""bg"":""bg_guild"",""speaker_name"":""商会の幹部"",""type"":""text""}",end_success
NODE,end_success,"重い金袋を手にした。\n砂漠の交易路に、再びラクダの列が戻るだろう。","{""bg"":""bg_guild"",""rewards"":{""gold"":600,""alignment_shift"":{""chaos"":10},""exp"":200,""reputation"":10},""type"":""end"",""result"":""success""}",
NODE,end_failure,"大砂虫の圧倒的な質量の前に、為す術がなかった。\n砂の中に引きずり込まれていく意識の中で、砂漠の静寂だけが残った。","{""bg"":""bg_desert"",""type"":""end"",""result"":""failure""}",
