row_type,node_id,text_label,params,next_node
NODE,start,"自警団の詰め所。薄暗い部屋で、ひげ面の団長が苦渋に満ちた表情で語り出す。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_desc
NODE,start_desc,"「ここ数日、夜の古道を越えようとした旅人が、立て続けに神隠しに遭っている」","{""bg"":""bg_yato_city"",""speaker_name"":""自警団の男"",""type"":""text""}",start_02
NODE,start_02,"「荷車ごと消えた者もいる。獣ではない、得体の知れない『妖』の仕業だ」","{""bg"":""bg_yato_city"",""speaker_name"":""自警団の男"",""type"":""text""}",start_03
NODE,start_03,"男は怯えた顔で、和紙に包まれた護符の束を差し出した。指先が微かに震えている。","{""bg"":""bg_yato_city"",""type"":""text""}",start_04
NODE,start_04,"朱墨で呪文が書かれた護符だ。触れるだけで、指先にツンとした冷たい痺れが走る。","{""bg"":""bg_yato_city"",""type"":""text""}",start_05
NODE,start_05,"「月の出ぬ夜、この護符を持って古道を歩き、奴らを誘い出す囮になってくれ」","{""bg"":""bg_yato_city"",""speaker_name"":""自警団の男"",""type"":""text""}",prep_01
NODE,prep_01,"護符を懐に隠し、夕暮れ前に町を出た。古道へと続く山坂は異様なほど静まり返る。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field"",""type"":""text""}",prep_02
NODE,prep_02,"陽が落ちると共に木々の影が長く伸び、うごめく蛇のように地面を這い始めた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field"",""type"":""text""}",patrol_01
NODE,patrol_01,"薄暗い夜刀神国の外れ。古道は、一瞬にして墨を流したような深い闇に閉ざされた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",patrol_02
NODE,patrol_02,"手提げ提灯の炎が頼りなく揺れる。先ほどまで響いていた虫の音は消え去っていた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",patrol_03
NODE,patrol_03,"ピタリと風が止んだ。次の瞬間、背筋を凍らせるような湿った冷気が吹き抜ける。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",patrol_04
NODE,patrol_04,"足元に白い霧が湧き、提灯の火が青白く変色した。懐の護符がジリジリと熱を帯びる。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",enc_01
NODE,enc_01,"ガサリ、と行く手の竹藪が大きく揺れ動く。獣にしては位置が高すぎる気配だ。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",enc_02
NODE,enc_02,"現れたのは、古びた和傘の中央に巨大な一つ目がギョロリと瞬く、異形の妖怪だった。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",enc_03
NODE,enc_03,"ケケケッ、と人間を嘲笑う下卑た笑い声が静寂を裂く。怪異がこちらへ飛びかかった！","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_01
NODE,battle_01,"からかさ小僧と鬼火の群れが襲いかかってきた！","{""bg"":""bg_yato_road"",""bgm"":""bgm_battle"",""enemy_group_id"":430,""type"":""battle""}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure
NODE,after_01,"唐傘の怪異を両断した。足元に転がった残骸は、黒い泥のように融けて消えていく。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",after_02
NODE,after_02,"懐の護符が、一枚黒焦げになって崩れ落ちた。奴らの邪気を吸い取ってくれたのだ。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",after_03
NODE,after_03,"残る護符はまだ微光を放つ。だが、空気にまとわりつく嫌な瘴気は晴れていない。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",after_04
NODE,after_04,"それどころか、先ほどの戦いを合図に、周囲の闇が一層濃くなったように感じられた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",after_05
NODE,after_05,"引き返すなら今だ。だが、元凶を絶たねば、また悲劇が繰り返されるだけだろう。","{""bg"":""bg_yato_road"",""bgm"":""bgm_field_night"",""type"":""text""}",deeper_01
NODE,deeper_01,"覚悟を決めて霧の奥へと進む。すると、ズシンと重い地響きのような音が響いた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",deeper_02
NODE,deeper_02,"足音はゆっくりとこちらに近づく。提灯を掲げ、暗闇の先を照らし出した。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",deeper_03
NODE,deeper_03,"光の中に浮かび上がったのは、そびえ立つ巨大な赤い肉の壁。鬼の巨躯だった。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",deeper_04
NODE,deeper_04,"頭に捻じれた二本の角。丸太のような腕には、血塗られた鉄の金棒が握られている。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""type"":""text""}",deeper_05
NODE,deeper_05,"「ガハハハハ！ 小さな人間め！ 怯えた瞳がたまらんなァ！」","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""speaker_name"":""赤鬼"",""type"":""text""}",deeper_06
NODE,deeper_06,"「骨の髄まで啜ってやる！ 美味そうじゃねぇか！」","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_tense"",""speaker_name"":""赤鬼"",""type"":""text""}",deeper_wind
NODE,deeper_wind,"赤鬼の叫びと共に、血生臭い暴風が顔を打ちつけた。嵐のような威圧感が襲う。","{""bg"":""bg_yato_road"",""type"":""text""}",battle_02
NODE,battle_02,"古道の主である巨躯の赤鬼が立ち塞がる！","{""bg"":""bg_yato_road"",""bgm"":""bgm_battle_boss"",""enemy_group_id"":431,""type"":""battle""}",
CHOICE,,win,,clear_01
CHOICE,,lose,,end_failure
NODE,clear_01,"重い地響きと共に赤鬼が沈み、手放された金棒が乾いた音を立てて地面に転がった。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_calm"",""type"":""text""}",clear_02
NODE,clear_02,"主を失ったことで、古道を塞いでいた分厚い瘴気が、見る間に消え去っていく。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_calm"",""type"":""text""}",clear_03
NODE,clear_03,"鬼の骸は朝露を浴びた霧のように消え、やがてただの黒い土となって風に散った。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_calm"",""type"":""text""}",clear_04
NODE,clear_04,"澄んだ夜風が吹き抜け、途絶えていた虫の音が、再び山間に美しく響き始めた。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_calm"",""type"":""text""}",clear_05
NODE,clear_05,"懐の護符はすべて灰になっていた。役目を全うしてくれたことに静かに感謝する。","{""bg"":""bg_yato_road"",""bgm"":""bgm_quest_calm"",""type"":""text""}",report_01
NODE,report_01,"夜明けに町へ戻り、自警団の詰所へ。男はこちらの姿を見て、驚愕に目を見張った。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",report_02
NODE,report_02,"「本当に赤鬼を討ち取ったのか！ これで誰もが安心してこの道を通れる」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""自警団の男"",""type"":""text""}",end_success
NODE,end_success,"約束の報酬を受け取る。古道に、再び人々の往来と提灯の灯が戻る日も近いだろう。","{""bg"":""bg_yato_city"",""rewards"":{""gold"":300,""exp"":100,""alignment_shift"":{""justice"":5}},""type"":""end"",""result"":""success""}",
NODE,end_failure,"怪異どもの圧倒的な力の前に力尽きる。嗤うような不気味な声が闇に響いていた。","{""bg"":""bg_yato_road"",""type"":""end"",""result"":""failure""}",
