row_type,node_id,text_label,params,next_node
NODE,start,"「夜分に失礼する。腕の立つ冒険者に、非公式な『掃除』を頼みたい」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""speaker_name"":""忍び衆の使者"",""type"":""text""}",start_02
NODE,start_02,"「他国の間者が軍事機密を記した密書を携え、北の関所へ向かっている」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""speaker_name"":""忍び衆の使者"",""type"":""text""}",start_03
NODE,start_03,"顔を黒布で覆った使者は、感情の読めない冷たい瞳でこちらを見据えている。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""type"":""text""}",start_04
NODE,start_04,"「間者は護衛を連れている。お前の任務は、奴らを討ち密書を奪うことだ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""speaker_name"":""忍び衆の使者"",""type"":""text""}",start_05
NODE,start_05,"「……ただし中身は決して見るな。封が切られていれば命はないと思え」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""speaker_name"":""忍び衆の使者"",""type"":""text""}",prep_01
NODE,prep_01,"使者は足音一つ立てずに闇へ消えた。警告は本気だろう。命がけの仕事だ。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",prep_02
NODE,prep_02,"北の関所への道は一本。先回りして伏兵となるため、獣道を急ぎ北上する。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",locate_01
NODE,locate_01,"両脇を深い林に囲まれた細い山道。太い枝の上に身を潜め、獲物を待つ。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",locate_02
NODE,locate_02,"月が雲に隠れ、足元すら見えなくなった頃、落ち葉を踏む微かな音がした。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",locate_03
NODE,locate_03,"笠を目深に被った男と、その前後を固める、歩みの異様に軽い二人の護衛。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",locate_04
NODE,locate_04,"一般の行商人には見えない隙のない陣形。間違いなく、奴らが標的だ。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_mystery"",""type"":""text""}",ambush_01
NODE,ambush_01,"息を殺し、刀の柄に手をかける。間者がちょうど真下を通り過ぎる瞬間――","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ambush_02
NODE,ambush_02,"木の上から音もなく飛び降り、前衛の護衛の背後へと回り込んで刃を突き立てた。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",ambush_03
NODE,ambush_03,"「何者だ！？ ええい、伏兵だ、出会えェッ！」","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""speaker_name"":""間者の護衛"",""type"":""text""}",ambush_04
NODE,ambush_04,"奇襲は防がれた。護衛たちが素早く小太刀を抜き、鋭い殺気で襲いかかる。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_spy
NODE,battle_spy,"他国の間者と抜け忍たちが立ちはだかる！","{""bg"":""bg_yato_forest"",""bgm"":""bgm_battle"",""enemy_group_id"":432,""type"":""battle""}",
CHOICE,,win,,after_01
CHOICE,,lose,,end_failure
NODE,after_01,"凄惨な殺し合いの末、護衛の一人が喉を押さえて倒れた。もう動かない。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",after_02
NODE,after_02,"残された間者も、絶望の表情を浮かべたまま血だまりの中に倒れ伏している。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",after_03
NODE,after_03,"林の中に再び静寂が戻る。血の匂いが獣を呼ぶ前に、任務を完遂せねば。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",after_04
NODE,after_04,"間者の死体を探る。帯の裏に、不自然な膨らみがあるのを見つけた。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",after_05
NODE,after_05,"布を切り裂くと、厳重に封印された黒い巻物が転がり出た。これが密書だ。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",take_01
NODE,take_01,"封印には見慣れぬ紋様。中を見れば命はないという警告が脳裏をよぎる。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",take_02
NODE,take_02,"好奇心を押し殺し、密書を丁寧に布に包んで懐にしまった。急ぎ撤退する。","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""text""}",take_document
NODE,take_document,"「封をされた密書」を手に入れた！","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""reward"",""item_id"":""item_secret_document""}",choice_destination
NODE,choice_destination,"手に入れた密書をどう扱うべきか？","{""bg"":""bg_yato_forest"",""bgm"":""bgm_quest_calm"",""type"":""choice""}",
CHOICE,,「約束通り、連絡員のいる裏路地の酒場へ向かう」,,return_01
CHOICE,,「代官所に通報し、密書を役人に引き渡す」,,report_authorities_01
NODE,report_authorities_01,"忍び衆の不穏な動きを懸念し、都の代官所へ赴き、密書を差し出してすべてを告発した。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""type"":""text""}",report_authorities_02
NODE,report_authorities_02,"役人たちは驚愕し、密書を直ちに没収した。そして、この件は一切口外するなと厳命された。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_tense"",""type"":""text""}",end_authorities
NODE,end_authorities,"代官所を後にする。密書は失ったが、国に潜む影の存在を公にできた。しかし、背後から刺客の視線を感じる……。","{""bg"":""bg_yato_city"",""rewards"":{""gold"":0,""exp"":120,""reputation"":10,""alignment_shift"":{""justice"":15}},""type"":""end"",""result"":""failure""}",
NODE,return_01,"夜が明ける前に町へ戻り、指定された裏路地の寂れた酒場へと足を運ぶ。","{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_quest_calm"",""type"":""text""}",return_02
NODE,return_02,"客のいない薄暗い店内。奥の席で笠を被った男が、静かにこちらを待っていた。","{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_quest_calm"",""type"":""text""}",return_03
NODE,return_03,"「……ご苦労だった。獲物は仕留めたな。密書を渡してもらおうか」","{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_quest_calm"",""speaker_name"":""忍び衆の連絡員"",""type"":""text""}",deliver_document
NODE,deliver_document,"黙って懐から密書を取り出し、男の前に置く。彼は封印の無事を確認した。","{""bg"":""bg_yato_tavern_night"",""bgm"":""bgm_quest_calm"",""type"":""check_delivery"",""item_id"":""item_secret_document"",""quantity"":1}",
CHOICE,,success,,deliver_check_ok
CHOICE,,failure,,deliver_check_fail
NODE,deliver_check_ok,"「封印は無事か……。よろしい。約束の報酬だ。我らは会わなかった、良いな？」","{""bg"":""bg_yato_tavern_night"",""speaker_name"":""忍び衆の連絡員"",""type"":""text""}",end_success
NODE,end_success,"重い金袋を受け取る。彼らが何を企んでいるのか、自分には関係のないことだ。","{""bg"":""bg_yato_tavern_night"",""rewards"":{""gold"":550,""exp"":120,""alignment_shift"":{""justice"":10}},""type"":""end"",""result"":""success""}",
NODE,deliver_check_fail,"「……密書がないだと？ 封を切ったか？ 貴様、我らを愚弄するか！」","{""bg"":""bg_yato_tavern_night"",""speaker_name"":""忍び衆の連絡員"",""type"":""text""}",end_failure_lost_end
NODE,end_failure_lost_end,"男の目が細まり、複数の殺気が膨れ上がる。ここで生かしてはおかれない。","{""bg"":""bg_yato_tavern_night"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
NODE,end_failure,"抜け忍たちの暗器に翻弄され、冷たい刃を胸に受ける。意識は闇に沈んでいった。","{""bg"":""bg_yato_forest"",""rewards"":{""gold"":0},""type"":""end"",""result"":""failure""}",
