row_type,node_id,text_label,params,next_node
NODE,start,"「腕の立つ冒険者に頼みがある。これを隣の宿場町にある道場へ届けてくれ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""剣客道場の師範"",""type"":""text""}",start_02
NODE,start_02,"道場の師範から、重厚な巻紙を手渡された。朱墨で禍々しい血判が押されている。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",start_03
NODE,start_03,"「これは果たし状だ。武士の面子がかかった、決して遅れを取れぬ代物だ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""剣客道場の師範"",""type"":""text""}",start_04
NODE,start_04,"「だが情けないことに我が門下生は、途中の峠道で怯え、逃げ帰ってしまった」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""剣客道場の師範"",""type"":""text""}",start_05
NODE,start_05,"「峠には何かが出るという噂だが……お前なら問題なかろう。無事に届けてくれ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""剣客道場の師範"",""type"":""text""}",travel_01
NODE,travel_01,"果たし状を懐の奥にしっかりと収め、隣町へと続く寂れた峠道へと向かった。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_02
NODE,travel_02,"空はどんよりと曇り、山間には薄い靄がかかっている。前の使者が二人も逃げ帰ってきた道だ。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_02_02
NODE,travel_02_02,"かつてここで戦い死んだ者の怨念が、霧となって峠を覆っているのだろうか。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_02_03
NODE,travel_02_03,"一歩進むたびに、冷たい空気が肌を刺す。果たし状の怨念が共鳴しているようだ。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_03
NODE,travel_03,"気を引き締めて、落ち葉で滑りやすい薄暗い山道へと足を踏み入れた。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_04
NODE,travel_04,"木々の擦れる音しか聞こえない。時折、視界の端を妙な影が横切るような気がする。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",travel_pass
NODE,travel_pass,"峠の頂上、最も見晴らしの悪い中間地点に差し掛かった。風がピタリと止む。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""random_branch"",""prob"":60}",
CHOICE,,success,,confronted_01
CHOICE,,failure,,safe_01
NODE,safe_01,"背筋が寒くなるような気配を感じたが、やがてその気配はスッと消え去った。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",safe_02
NODE,safe_02,"噂はただの噂だったのだろうか。それとも、単に運が良かっただけか。足早に峠を下る。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_field"",""type"":""text""}",deliver_normal_01
NODE,confronted_01,"風の音に混じって、どこからか「……かえれ……」という低いうめき声が聞こえた。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",confronted_02
NODE,confronted_02,"立ち止まって前方を睨むと、狭い山道を塞ぐように、ひとつの人影が立っていた。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",confronted_03
NODE,confronted_03,"ボロボロの着流しを着た浪人……ではない。その足元は透けており、地面から浮いている。怨霊だ。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",choice_action
NODE,choice_action,"霊は血走った目でこちらを睨みつけ、刀の柄に手をかけている。どうする？","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""choice""}",
CHOICE,,落ち着いて話しかける,,resolve_01
CHOICE,,構わず強行突破する,,battle_01
NODE,resolve_01,"ゆっくりと両手を上げ、敵意がないことを示す。そして静かに、手紙を届けるだけだと告げた。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",resolve_02_01
NODE,resolve_02_01,"霊はピタリと動きを止め、濁った瞳でこちらの懐をじっと見つめた。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",resolve_02
NODE,resolve_02,"「……お前は、逃げないのだな」","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""speaker_name"":""峠の怨霊"",""type"":""text""}",resolve_03
NODE,resolve_03,"「……あの果たし状……武士の意地か……ならば、行くが良い」","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""speaker_name"":""峠の怨霊"",""type"":""text""}",resolve_03_01
NODE,resolve_03_01,"霊はどこか寂しげな表情を浮かべると、霧のようにスッと消え去った。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",resolve_03_02
NODE,resolve_03_02,"怨霊が消え去った場所には、ただ冷たい風が吹き抜けていくだけだった。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",resolve_03_03
NODE,resolve_03_03,"かつて果たし合いに向かい、ここで力尽きた剣士。その無念が解けたのだろうか。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_calm"",""type"":""text""}",deliver_peace_01
NODE,deliver_peace_01,"怨霊の無念を背に受けながら、無事に峠を越え、隣町の道場へと到着した。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",deliver_peace_02
NODE,deliver_peace_02,"呼び出しに応じた師範に、果たし状を手渡す。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",deliver_peace_02_02
NODE,deliver_peace_02_02,"師範は朱色の血判を確認し、深く重々しく頷いた。","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""type"":""text""}",deliver_peace_03
NODE,deliver_peace_03,"「届いたか。あの峠で何があった？ いや、聞くまい。見事な胆力だ」","{""bg"":""bg_yato_city"",""bgm"":""bgm_quest_calm"",""speaker_name"":""宛先の師範"",""type"":""text""}",end_success_peace_01
NODE,end_success_peace_01,"配達完了。道場から多額の謝礼を受け取った。","{""bg"":""bg_yato_city"",""type"":""text""}",end_success_peace
NODE,end_success_peace,"あの霊は、果たし合いに向かう途中で命を落とした剣客だったのかもしれない。","{""bg"":""bg_yato_city"",""rewards"":{""gold"":400,""exp"":0,""alignment_shift"":{""justice"":10}},""type"":""end"",""result"":""success""}",
NODE,battle_01,"言葉が通じる相手ではない。武器を構え、強行突破の姿勢を見せる。","{""bg"":""bg_yato_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",battle_02
