row_type,node_id,text_label,params,next_node
NODE,start,"「よく来てくれました。他ならぬ、腕利きのあなたに頼みたい儀があるのです」\n宮殿の奥深くに通され、宦官から古い図絵と山脈の地図を受け取った。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""speaker_name"":""宦官"",""type"":""text""}",start_02
NODE,start_02,"「皇帝陛下に献上する『仙丹』……その秘薬の要となる『霊草』を摘んできてほしいのです」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""speaker_name"":""宦官"",""type"":""text""}",start_03
NODE,start_03,"「霊草は茎が折れるとたちまち薬効を失います。根からそっと引き抜き、慎重に扱ってください」","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""speaker_name"":""宦官"",""type"":""text""}",start_04
NODE,start_04,"「それから……この件はくれぐれも内密に。仙丹の『真の使い道』は聞かないほうがよろしいかと」\n冷たく細められた宦官の目に、底知れぬ悪意の気配を感じた。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_quest_calm"",""speaker_name"":""宦官"",""type"":""text""}",leave_01
NODE,leave_01,"図絵を懐に忍ばせ、宮殿の裏門から人目を避けるようにして都を出る。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_field"",""type"":""text""}",leave_02
NODE,leave_02,"地図によれば、霊草の自生地である西方霊山までは、急ぎ足でも片道三日はかかる。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_field"",""type"":""text""}",leave_03
NODE,leave_03,"道中の食料と登山用の命綱をしっかりと確認し、長い旅路へと足を踏み出した。","{""bg"":""bg_karyu_palace"",""bgm"":""bgm_field"",""type"":""text""}",approach_01
NODE,approach_01,"三日後。道なき道を進み、ようやく目的の山麓へと辿り着いた。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",approach_02
NODE,approach_02,"雲の切れ間から、天を衝くような険しい断崖絶壁が覗いている。霊草はあの頂付近にあるという。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",approach_03
NODE,approach_03,"風は冷たく、空気は薄い。高山病に気をつけながら、慎重に崖に取り付いた。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",climb_01
NODE,climb_01,"岩肌に指をかけ、少しずつ上を目指す。見下ろせば、目が眩むような奈落が広がっている。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",climb_02
NODE,climb_02,"山頂に近づくにつれ、湿った濃霧が立ち込め、岩肌が結露で滑りやすくなってきた。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",climb_03
NODE,climb_03,"中腹のオーバーハングを越えようとしたその時、踏み込んだ岩の表面がボロッと崩れ落ちた！","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",climb_04
NODE,climb_04,"「くっ……！」\n宙ぶらりんになりながらも、辛うじて別の突起に指を引っ掛け、全体重を支える。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",cliff_danger
NODE,cliff_danger,"無理な姿勢で身体を引き上げた代償として、鋭い岩角で手足を深く切り裂いてしまった。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""hp_damage"",""percent"":10,""hp_percent"":10}",cliff_danger_02
NODE,cliff_danger_02,"息を荒げながら、安全な岩棚へと這い上がる。傷口から滲む血を布で縛り、応急処置を施した。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",cliff_danger_03
NODE,cliff_danger_03,"あのまま落ちていれば一貫の終わりだった。気を引き締め直し、さらに崖を登り続ける。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""text""}",find_herb
NODE,find_herb,"ついに頂上付近の広い岩棚へと到達した。岩の隙間に、仄かに光る白い花をつけた植物が群生している。\n間違いない、図絵に描かれていた「霊草」だ。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_field"",""type"":""random_branch"",""prob"":40}",
CHOICE,,success,,guard_01
CHOICE,,failure,,collect_01
NODE,guard_01,"霊草に手を伸ばそうとしたその瞬間、岩陰から「グルル……」と地鳴りのような低い唸り声が響いた。","{""bg"":""bg_karyu_mountain"",""bgm"":""bgm_quest_tense"",""type"":""text""}",guard_02
