row_type,node_id,text_label,params,next_node
NODE,start,"次元の狭間へと足を踏み入れた。辺りは禍々しい魔気が漂っている。","{""bg"":""bg_ruins_field"",""bgm"":""bgm_quest_tense"",""type"":""text""}",explore_01
NODE,explore_01,"","{""bg"":""bg_ruins_field"",""type"":""choice""}",
CHOICE,,「まっすぐ進む」,,meet_merchant
CHOICE,,「左右を警戒しながら進む」,,meet_merchant
NODE,meet_merchant,"「ククク…人間がこんな深くまで来るとはな。取引をしようじゃないか」","{""bg"":""bg_ruins_field"",""fg_image"":""fg_demon_soldier"",""speaker_name"":""魔族の商人"",""type"":""text""}",choice_merchant
NODE,choice_merchant,"","{""bg"":""bg_ruins_field"",""fg_image"":""fg_demon_soldier"",""type"":""choice""}",
CHOICE,,「金貨100Gと引き換えに魔導書を買う」,,buy_spell
CHOICE,,「取引しない」,,find_chest
NODE,buy_spell,"「毎度あり。深淵の力を使いこなしてみせるがいい」","{""bg"":""bg_ruins_field"",""fg_image"":""fg_demon_soldier"",""rewards"":{""skills"":[3141]},""type"":""reward""}",find_chest
NODE,find_chest,"通路の奥に、不気味な黒い宝箱が置かれている。","{""bg"":""bg_ruins_field"",""fg_image"":""fg_chest_locked"",""type"":""text""}",choice_chest
NODE,choice_chest,"","{""bg"":""bg_ruins_field"",""fg_image"":""fg_chest_locked"",""type"":""choice""}",
CHOICE,,「宝箱を開ける」,,get_unidentified
CHOICE,,「危険なので立ち去る」,,camp_stairs
NODE,get_unidentified,"宝箱の中から「未鑑定の魔導宝箱」を手に入れた！","{""bg"":""bg_ruins_field"",""rewards"":{""items"":[4001]},""type"":""reward""}",camp_stairs
NODE,camp_stairs,"「野営地に到着した。ここでこれまでの戦利品がセーブされます。」","{""bg"":""bg_camp"",""type"":""camp""}",explore_boss
NODE,explore_boss,"狭間の奥に、魔導士エルドレドの幻影が立ちふさがった！","{""bg"":""bg_ruins_field"",""bgm"":""bgm_battle"",""enemy_group_id"":200,""type"":""battle""}",
CHOICE,,win,,end_explore_success
CHOICE,,lose,,end_explore_failure
NODE,end_explore_success,"魔導士の幻影を打ち破り、調査を完了した。","{""bg"":""bg_ruins_field"",""rewards"":{""exp"":200,""gold"":400},""type"":""end"",""result"":""success""}",
NODE,end_explore_failure,"狭間の闇に飲み込まれ、意識が薄れていく…","{""bg"":""bg_ruins_field"",""type"":""end"",""result"":""failure""}",
