row_type,node_id,text_label,params,next_node
NODE,start,"ギルドの鑑定士：次元の狭間から『未鑑定の魔導宝箱』を持ち帰ったようだな。","{""bg"":""bg_guild"",""bgm"":""bgm_quest_calm"",""type"":""text""}",check_box
NODE,check_box,"","{""bg"":""bg_guild"",""item_id"":4001,""quantity"":1,""remove_on_success"":true,""type"":""check_delivery""}",
CHOICE,,success,,appraise_roll
CHOICE,,failure,,no_box
NODE,no_box,"鑑定士：なんだ、鑑定する宝箱を持っていないじゃないか。また手に入れたら来い。","{""bg"":""bg_guild"",""type"":""text""}",end_no_box
NODE,end_no_box,"報告できる成果がありませんでした。","{""bg"":""bg_guild"",""type"":""end"",""result"":""failure""}",
NODE,appraise_roll,"鑑定士：よし、封印を解くぞ… 少し下がっていなさい。","{""bg"":""bg_guild"",""prob"":20,""type"":""random_branch""}",
CHOICE,,success,,get_rare
CHOICE,,failure,,get_normal
NODE,get_rare,"鑑定士：おお！これは伝説の魔鉄でできた名剣だ！","{""bg"":""bg_guild"",""rewards"":{""items"":[4002]},""type"":""reward""}",end_rare
NODE,get_normal,"鑑定士：ふむ、これは魔族の戦衣のようだな。十分に価値がある。","{""bg"":""bg_guild"",""rewards"":{""items"":[4003]},""type"":""reward""}",end_normal
NODE,end_rare,"最高成果の鑑定報告を完了した。","{""bg"":""bg_guild"",""type"":""end"",""result"":""success""}",
NODE,end_normal,"鑑定報告を完了した。","{""bg"":""bg_guild"",""type"":""end"",""result"":""success""}",
