row_type,node_id,text_label,params,next_node
NODE,start,ギルド本部の扉を押し開けると、冷え切った空気が肌を刺した。,"{""bg"":""bg_office"",""bgm"":""bgm_quest_calm"",""type"":""text""}",7060_start_2
NODE,7060_start_2,いつもなら賑わうはずの酒場も静まり返り、ただならぬ緊張感が漂っている。,"{""bg"":""bg_office"",""type"":""text""}",7060_start_3
NODE,7060_start_3,私達は促されるまま、奥のギルド長室へと足を向けた。,"{""bg"":""bg_office"",""type"":""text""}",check_possession_blue
NODE,check_possession_blue,,"{""bg"":""bg_office"",""type"":""check_possession"",""item_id"":327,""fallback"":""check_possession_red"",""silent"":true}",route_c_start
NODE,check_possession_red,,"{""bg"":""bg_office"",""type"":""check_possession"",""item_id"":326,""fallback"":""route_a_start_desc"",""silent"":true}",route_b_start
NODE,route_a_start_desc,机の向こうで、ギルド長ガラハドが険しい表情で私達を迎え入れた。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_start_desc_2
NODE,route_a_start_desc_2,その屈強な身体には、数々の死線をくぐり抜けてきた凄みがあった。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_start_talk
NODE,route_a_start_talk,「よく来てくれた。お前たちのような頼もしい冒険者を呼び出すのは心苦しいが、緊急の事態だ」,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""speaker_name"":""ギルド長ガラハド"",""type"":""text""}",route_a_02
NODE,route_a_02,ガラハドの指差す先、木製の机の上には、ひどく傷つき、ちぎれた先遣隊の紋章が置かれていた。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_02_2
NODE,route_a_02_2,金属の端は不自然にねじ曲がり、焦げたような煤が付着している。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_03
NODE,route_a_03,「世界の中心に、巨大な次元の亀裂……『狭間の迷宮』が出現した」,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""speaker_name"":""ギルド長ガラハド"",""bgm"":""bgm_quest_tense"",""type"":""text""}",route_a_03_2
NODE,route_a_03_2,「ただちに腕利きの先遣隊を送り込んだのだが……誰一人として帰還していない。魔気が逆巻き、奈落のそこから無数の悪魔が這い出しているのだ」,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""speaker_name"":""ギルド長ガラハド"",""type"":""text""}",route_a_04_desc
NODE,route_a_04_desc,ガラハドは私達の目をまっすぐに見つめた。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_04_desc_2
NODE,route_a_04_desc_2,その低い声には、重い責任と私達への気遣いが込められていた。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_04_talk
NODE,route_a_04_talk,「これ以上の被害を防ぐため、迷宮の調査を頼みたい」,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""speaker_name"":""ギルド長ガラハド"",""type"":""text""}",route_a_04_talk_2
NODE,route_a_04_talk_2,「先遣隊の安否も気になるが、まずは迷宮の『上層』の調査に集中してくれ。深追いはするな。生きて戻ることが最優先だ」,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""speaker_name"":""ギルド長ガラハド"",""type"":""text""}",route_a_05
NODE,route_a_05,ガラハドの差し出した調査通行証を受け取る。,"{""bg"":""bg_office"",""fg"":""fg_galahad"",""type"":""text""}",route_a_05_2
NODE,route_a_05_2,羊皮紙を通しても、迷宮が発する魔力の冷気が微かに指先に伝わってくるようだった。私達は無言で頷き、ギルド長室を後にした。,"{""bg"":""bg_office"",""type"":""text""}",route_a_move_01
NODE,route_a_move_01,大渓谷へと続く街道は、不自然なほど静まり返っていた。,"{""bg"":""bg_road_day"",""bgm"":""bgm_field"",""type"":""text""}",route_a_move_01_2
NODE,route_a_move_01_2,青い空には重苦しい薄紫の雲が立ち込め、風が運ぶかすかな乾いた煤の臭いが、私達の緊張をいやが上にも高める。,"{""bg"":""bg_road_day"",""type"":""text""}",route_a_move_02
NODE,route_a_move_02,先遣隊の身に何が起きたのだろうか。,"{""bg"":""bg_road_day"",""type"":""text""}",route_a_move_02_2
NODE,route_a_move_02_2,息を呑むような沈黙のなか、私達は武器の柄を握りしめる。手のひらにはじっとりと汗がにじんでいた。引き返す道はない。ただ、前へ進むのみだ。,"{""bg"":""bg_road_day"",""type"":""text""}",route_a_entrance_01
