row_type,node_id,text_label,params,next_node
NODE,start,「狭間の迷宮」の上層階への大穴を目の前にして、私達は改めて装備を確かめた。,"{""bg"":""bg_rift_entrance"",""bgm"":""bgm_rift_upper"",""type"":""text""}",7061_start_2
NODE,7061_start_2,吹き上げる紫の瘴気が冷たく肌を刺し、地下深くから這い出る不気味な音が恐怖を駆り立てる。ここから先は、本当の迷宮探索だ。,"{""bg"":""bg_rift_entrance"",""type"":""text""}",7061_b1f_01
NODE,7061_b1f_01,暗黒の縦穴を下り、地下1階の廊下へ足を踏み入れた。,"{""bg"":""bg_rift_upper_01"",""type"":""text""}",7061_b1f_01_2
NODE,7061_b1f_01_2,周囲は無機質な黒い石壁で囲まれ、天井の隙間から時折冷たい砂埃が舞い落ちてくる。,"{""bg"":""bg_rift_upper_01"",""type"":""text""}",7061_b1f_02
NODE,7061_b1f_02,行く手には、錆びついた黒い鉄格子の扉が立ちはだかっている。鍵はかかっていないようだ。,"{""bg"":""bg_rift_upper_01"",""fg"":""fg_rift_door_iron"",""type"":""text""}",7061_b1f_02_2
NODE,7061_b1f_02_2,しかし、扉の奥から微かに獣のような唸り声が聞こえてくる。,"{""bg"":""bg_rift_upper_01"",""fg"":""fg_rift_door_iron"",""type"":""text""}",
CHOICE,,意を決して扉を開ける,,7061_b1f_door_open
CHOICE,,別の道を探して迂回する,,7061_b1f_door_detour
NODE,7061_b1f_door_open,軋んだ音を立てて扉を開けると、暗闇の中から複数の赤い瞳がこちらを睨みつけた！,"{""bg"":""bg_rift_upper_01"",""type"":""text""}",7061_b1f_door_open_2
NODE,7061_b1f_door_open_2,待ち伏せていた悪魔がこちらに向かって襲いかかってくる！,"{""bg"":""bg_rift_upper_01"",""type"":""text""}",7061_b1f_battle_01
NODE,7061_b1f_battle_01,,"{""bg"":""bg_rift_upper_01"",""bgm"":""bgm_battle"",""enemy_group_id"":""pool_rift_upper"",""type"":""battle""}",
CHOICE,,win,,7061_b1f_battle_win
CHOICE,,lose,,end_failure
NODE,7061_b1f_battle_win,倒した魔物の残骸の奥から古びた宝箱を発見した！,"{""bg"":""bg_rift_upper_01"",""fg"":""fg_rift_chest""}",
CHOICE,,宝箱を開けてみる,,7061_b1f_battle_win_trigger
CHOICE,,罠を警戒して無視する,,7061_b1f_03
NODE,7061_b1f_battle_win_trigger,,"{""bg"":""bg_rift_upper_01"",""type"":""check_random"",""probability"":0.4,""success"":""7061_b1f_battle_win_trap"",""fallback"":""7061_b1f_battle_win_open""}",
NODE,7061_b1f_battle_win_trap,宝箱を開けた瞬間、隠されていた針が指先に突き刺さった！ (最大HPの15%ダメージ),"{""bg"":""bg_rift_upper_01"",""fg"":""fg_rift_trap_spears"",""type"":""damage"",""effect_type"":""hp"",""damage_pct"":0.15}",7061_b1f_battle_win_open
