row_type,node_id,text_label,params,next_node
NODE,start,「狭間の迷宮」の中層階へと続く長い階段を降りていく。,"{""bg"":""bg_rift_entrance"",""bgm"":""bgm_rift_middle"",""type"":""text""}",7062_b5f_start_2
NODE,7062_b5f_start_2,階段を下りるほどに周囲の温度は冷え込み、空気に混ざる魔力の瘴気が濃くなっていくのを感じた。,"{""bg"":""bg_rift_entrance"",""type"":""text""}",7062_b5f_start_3
NODE,7062_b5f_start_3,上層で得た経験を胸に、私達は改めて武器の柄を握り締め、中層の探索を開始した。,"{""bg"":""bg_rift_entrance"",""type"":""text""}",7062_b5f_start
NODE,7062_b5f_start,地下5階の通路へ足を踏み入れた。周囲は湿り気を帯びた黒い石壁に囲まれている。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_desc_01
NODE,7062_b5f_desc_01,石壁には上層よりも古い時代の、不気味に歪んだ紋様がルーンとして刻み込まれており、微かに青く明滅している。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_desc_02
NODE,7062_b5f_desc_02,足元には水たまりがあり、天井から滴る水滴の音が、不自然なほど静まり返った通路に反響していた。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_desc_03
NODE,7062_b5f_desc_03,時折、冷たい風と共に悪魔の羽ばたきのような音が聞こえる。油断は死に直結するだろう。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_corridor_01
NODE,7062_b5f_corridor_01,警戒を保ちながら慎重に進み、入り組んだ通路を曲がる。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_corridor_02
NODE,7062_b5f_corridor_02,壁の割れ目から紫色の異常な苔が光を放ち、私達の影を怪しく壁面に投影させていた。,"{""bg"":""bg_rift_middle_01"",""type"":""text""}",7062_b5f_corridor_03
NODE,7062_b5f_corridor_03,前方の通路が分岐している。一方は頑丈そうな鉄格子の扉が塞いでおり、もう一方は暗い迂回路だ。,"{""bg"":""bg_rift_middle_01"",""fg"":""fg_rift_door_iron"",""type"":""text""}",
CHOICE,,鉄格子の扉を開けて進む,,7062_b5f_door_open
CHOICE,,暗い迂回路へ避ける,,7062_b5f_door_detour
