row_type,node_id,text_label,params,next_node
NODE,start,「狭間の迷宮」下層へと繋がる暗く険しい大階段を静かに下りていく。,"{""bg"":""bg_rift_lower_entrance"",""bgm"":""bgm_rift_lower"",""type"":""text""}",7063_b8f_start_2
NODE,7063_b8f_start_2,階段を下りきるにつれ、冷気と濃密な瘴気が肌を刺し、上層や中層とは比較にならない重圧を感じた。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_start_3
NODE,7063_b8f_start_3,私達は武器を強く握り直し、大魔導士ヴァルグナの潜むこの奈落の底の探索を開始した。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_01
NODE,7063_b8f_desc_pre1,通路の石畳は所々黒ずんでおり、何か巨大な魔力が弾けたような焦げ跡が残されている。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_pre2
NODE,7063_b8f_desc_pre2,空気は凍てつき、呼吸をするたびに白い吐息が闇の中に消えていった。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_pre3
NODE,7063_b8f_desc_pre3,静寂の中に、自分たちの心臓の鼓動と鎧の擦れる音だけが不自然なほど大きく聞こえる。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_01
NODE,7063_b8f_desc_01,地下8階の通路へと足を踏み入れた。周囲は湿り気を帯びた漆黒の石壁に囲まれている。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_02
NODE,7063_b8f_desc_02,石壁には悪魔の顔を模した歪なレリーフが彫り込まれており、その瞳からは微かに紫色の光が滴り落ちていた。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_03
NODE,7063_b8f_desc_03,遠くから地響きのような唸り声が響く。ここを下層の強力な魔物たちが徘徊している証拠だ。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_desc_04
NODE,7063_b8f_desc_04,通路の奥へと歩みを進める。魔力の瘴気により視界は悪く、油断すれば一瞬で影に潜む魔物の餌食になるだろう。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_corridor_01
NODE,7063_b8f_corridor_01,石畳を踏みしめて前進する。突然、壁から冷たい水滴が滴り落ち、ヘルメットを叩いた。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_corridor_02
NODE,7063_b8f_corridor_02,前方の角を曲がると、暗闇の中から複数の邪悪な瞳がこちらを睨みつけていた！,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_battle_01
NODE,7063_b8f_battle_01,,"{""bg"":""bg_rift_lower_entrance"",""bgm"":""bgm_battle"",""enemy_group_id"":""pool_rift_lower"",""type"":""battle""}",
CHOICE,,win,,7063_b8f_battle_01_win
CHOICE,,lose,,end_failure
NODE,7063_b8f_corridor_pre1,倒した魔物の血液から紫色の煙が立ち上り、空気中に消えていくのを静かに見守る。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_corridor_pre2
NODE,7063_b8f_corridor_pre2,下層の悪魔たちの呪詛だろうか。私たちは身震いし、衣服を払い落とした。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_after_chest
NODE,7063_b8f_battle_01_win,激しい戦闘の末、襲いかかってきた悪魔の群れを退けた。瓦礫の影に、不気味な黒い宝箱が置かれているのを見つけた。,"{""bg"":""bg_rift_lower_entrance"",""fg"":""fg_chest_transparent"",""type"":""text""}",
CHOICE,,宝箱を開けてみる,,7063_b8f_chest_trigger
CHOICE,,罠を警戒して無視する,,7063_b8f_after_chest
NODE,7063_b8f_chest_trigger,,"{""bg"":""bg_rift_lower_entrance"",""type"":""check_random"",""probability"":0.4,""success"":""7063_b8f_chest_trap"",""fallback"":""7063_b8f_chest_open""}",
NODE,7063_b8f_chest_trap,宝箱の蓋を開けた瞬間、鋭い石の刃が飛び出した！ (最大HPの15%のダメージを受ける),"{""bg"":""bg_rift_lower_entrance"",""fg"":""fg_trap_spears_transparent"",""type"":""damage"",""effect_type"":""hp"",""damage_pct"":0.15}",7063_b8f_chest_open
NODE,7063_b8f_chest_open,宝箱の中から魔力が込められたアイテムを獲得した。,"{""bg"":""bg_rift_lower_entrance"",""type"":""treasure"",""item_pool"":[{""item_id"":709,""weight"":300},{""item_id"":708,""weight"":400},{""item_id"":707,""weight"":200},{""item_id"":431,""weight"":100}]}",7063_b8f_after_chest
NODE,7063_b8f_after_chest,宝箱をあとにし、冷たい風が吹き抜けるさらに深い回廊へと足を進めた。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_ritual_hall
NODE,7063_b8f_ritual_hall,しばらく進むと、魔力の残滓が異常に色濃く立ち込める、広大な石造りの儀式室に到達した。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_ritual_hall_2
NODE,7063_b8f_ritual_hall_2,儀式室の中央には巨大な魔方陣が赤黒く変色しており、そこから邪悪な残留思念が空気中に浮かび上がってきた……,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_ritual_hall_3
NODE,7063_b8f_ritual_hall_3,残留思念が空中で形を結び、魔導士ヴァルグナの過去の幻影を描き出していく。,"{""bg"":""bg_rift_vargna_summon"",""type"":""text""}",7063_b8f_lore_ritual
NODE,7063_b8f_lore_ritual,幻影の中のヴァルグナは、狂ったように呪文を唱え、虚空に紫色の次元の裂け目をこじ開けている。,"{""bg"":""bg_rift_vargna_summon"",""type"":""text"",""speaker"":""ヴァルグナの幻影""}",7063_b8f_lore_ritual_2
NODE,7063_b8f_lore_ritual_2,裂け目からは、次から次へと赤い悪魔の兵士たちが湧き出し、世界に向けて突撃していく……。,"{""bg"":""bg_rift_vargna_summon"",""type"":""text""}",7063_b8f_lore_ritual_3
NODE,7063_b8f_lore_ritual_3,しかし、どうやって一人の魔導士が、生命力を枯渇させずに無限の悪魔の軍勢を召喚し続けられるのだろうか？,"{""bg"":""bg_rift_vargna_summon"",""type"":""text""}",7063_b8f_lore_ritual_4
NODE,7063_b8f_lore_ritual_4,この無限の召喚術の根源には、何か想像を絶するおぞましい秘密があるはずだ……。私達は強い疑念を抱いた。,"{""bg"":""bg_rift_vargna_summon"",""type"":""text""}",7063_b8f_after_ritual
NODE,7063_b8f_after_ritual,幻影はやがて虚空に溶けて消え去った。しかし、ヴァルグナの魔力は依然としてこの階層の空気を支配している。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_after_ritual_2
NODE,7063_b8f_after_ritual_2,警戒を高めて通路の先を急ぐ。その時、瓦礫の間から再び悪魔の凶牙が迫ってきた！,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_battle_02
NODE,7063_b8f_after_ritual_pre1,壁面にこびりついた悪魔の血が、まるで生きているかのように微かに脈打っている。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_after_ritual_pre2
NODE,7063_b8f_after_ritual_pre2,ここは迷宮の深淵に最も近い階層。私たちは心を引き締め、さらに奥へ進む。,"{""bg"":""bg_rift_lower_entrance"",""type"":""text""}",7063_b8f_after_ritual_2
NODE,7063_b8f_battle_02,,"{""bg"":""bg_rift_lower_entrance"",""bgm"":""bgm_battle"",""enemy_group_id"":""pool_rift_lower"",""type"":""battle""}",
CHOICE,,win,,7063_b8f_battle_02_win
CHOICE,,lose,,end_failure
NODE,7063_b8f_battle_02_win,激しい斬り合いの末に敵を討ち果たした。突き当たりの小部屋に、澄んだ水を湛えた魔力石の盆がある。,"{""bg"":""bg_rift_lower_entrance"",""fg"":""fg_spring_transparent"",""type"":""text""}",
CHOICE,,魔力の盆の水を飲んで回復する,,7063_b8f_fountain_drink
CHOICE,,罠を警戒して素通りする,,7063_b8f_lore_clues
