row_type,node_id,text_label,params,next_node
NODE,start,「狭間の迷宮」の最深部『深淵』へと足を踏み入れる。そこは、これまでの階層とは比較にならないほど狂暴な次元の嵐が吹き荒れる極限の空間だった。,"{""bg"":""bg_rift_abyss"",""bgm"":""bgm_rift_abyss"",""type"":""text""}",7065_b11f_meet
NODE,7065_b11f_meet,,"{""bg"":""bg_rift_abyss"",""type"":""meet_player""}",7065_b11f_start
NODE,7065_b11f_start,地下11階に足を踏み入れた直後、前方から這うようにして戻ってくる満身創痍の{met_player_text}と鉢合わせた。彼らの装備は引き裂かれ、顔には恐怖が張り付いている。,"{""bg"":""bg_rift_abyss"",""type"":""text""}",7065_b11f_wounded_1
NODE,7065_b11f_wounded_1,「だ、だめだ……この先は地獄だ……魔物の強さがこれまでの比じゃない……。俺たちは引き返す……命があるうちに……」,"{""bg"":""bg_rift_abyss"",""speaker_name"":""満身創痍の冒険者"",""type"":""text""}",7065_b11f_wounded_2
NODE,7065_b11f_wounded_2,彼らはそう言い残すと、互いを支え合いながら、震える足取りで上層への階段へと逃げのびていった。私達は冷たい戦慄を覚えつつ、奥へと進んだ。,"{""bg"":""bg_rift_abyss"",""type"":""text""}",7065_b11f_wounded_3
NODE,7065_b11f_wounded_3,目の前には、巨大な中央広間が広がっている。周囲には4つの玄室へと続く扉があり、それぞれ不気味な紋様が刻まれていた。,"{""bg"":""bg_rift_abyss"",""type"":""text""}",7065_b11f_lobby
NODE,7065_b11f_lobby,中央ロビー。不気味に歪む4つの玄室 of the扉が私達を囲んでいる。どの扉を開けるべきか。,"{""bg"":""bg_rift_abyss"",""type"":""text""}",
CHOICE,,第一の玄室を探索する,,7065_b11f_rm1_check
CHOICE,,第二の玄室を探索する,,7065_b11f_rm2_check
CHOICE,,第三の玄室を探索する,,7065_b11f_rm3_check
CHOICE,,最奥の玄室へ進む,,7065_b11f_rm4_open_check
NODE,7065_b11f_rm1_check,,"{""type"":""check_flag"",""flag"":""rift_sw1_on"",""value"":1,""operator"":""==""}",
CHOICE,,success,,7065_b11f_rm1_done
